,id_serie,rep,id_model,output,sMAPE,MAE,MAPE
0,1563,0,ets,3,0.0029998593028882042,20.57730299006774,0.005974273809636961
1,1563,0,theta,3,0.001424464051729755,9.79868339301538,0.0028462450056950957
2,1563,0,arima,3,0.0011468315971895533,7.881190586110279,0.0022859953628362358
3,1563,1,ets,3,0.006561290628014261,44.28248408516371,0.013040386447526565
4,1563,1,theta,3,0.00503093286663554,34.01826156189918,0.010058901651826975
5,1563,1,arima,3,0.003053113257624993,20.677684750018518,0.006097571884157556
6,1563,2,ets,3,0.003609575236330717,24.513274942699052,0.007261035349654464
7,1563,2,theta,3,0.005043474522715906,34.12473191004968,0.010075429560118863
8,1563,2,arima,3,0.0029346988098654836,19.874536395931653,0.005874002293837638
9,1563,0,ets,12,0.003859133381810611,26.19451890392376,0.007685750340858881
10,1563,0,theta,12,0.005612566286209459,37.98872086052453,0.011159672368267396
11,1563,0,arima,12,0.003731072544739013,25.28945992601109,0.007418987095044062
12,1563,1,ets,12,0.004854459059174051,32.32045966620084,0.009721755947059126
13,1563,1,theta,12,0.0040697232926539696,27.00731573742712,0.008132786370284214
14,1563,1,arima,12,0.0033656571113022163,22.353217786170717,0.006710059547304078
15,1563,2,ets,12,0.002745366774750853,18.17076766603073,0.0055154377876101175
16,1563,2,theta,12,0.002034167644387635,13.418309507230939,0.0040979920525595435
17,1563,2,arima,12,0.001809774378615068,11.930187151093188,0.0036085153185212208
