,id_serie,rep,id_model,output,sMAPE,MAE,MAPE
0,39,0,ets,3,0.021481320783529816,198.58900347674413,0.04082535940939037
1,39,0,theta,3,0.013475577199336139,125.5491964179658,0.02567711886777932
2,39,0,arima,3,0.02887547475440596,266.07958229914976,0.055151171550849774
3,39,1,ets,3,0.03349582108076978,303.3848099163227,0.0680975866654626
4,39,1,theta,3,0.03518483823188798,316.5771404704774,0.07027264015499486
5,39,1,arima,3,0.02148545464977376,191.9598129303146,0.042182619825639624
6,39,2,ets,3,0.024745480327610002,232.52303467615366,0.051625464586693516
7,39,2,theta,3,0.01813448620141942,168.1181323530594,0.03661556507455101
8,39,2,arima,3,0.024831783974919516,230.64607681810534,0.05027711277129159
9,39,0,ets,12,0.044915332723709726,420.6782763310841,0.09885891845111734
10,39,0,theta,12,0.03618530858385373,334.78941638942416,0.07898421069117491
11,39,0,arima,12,0.04087356520202858,381.06664332216536,0.09084822215845005
12,39,1,ets,12,0.04886921848263313,459.07928351103345,0.08647231436336596
13,39,1,theta,12,0.0527715711957828,492.2809578438411,0.0929873956528013
14,39,1,arima,12,0.043104788675864265,407.73642846072903,0.07675661353426012
15,39,2,ets,12,0.02596810735871714,232.74412812197025,0.05178249449507554
16,39,2,theta,12,0.027474796942829248,244.80354939372376,0.053439852406906026
17,39,2,arima,12,0.02136697069489084,191.65274827677345,0.042103302199632035
