,id_serie,rep,id_model,output,sMAPE,MAE,MAPE
0,553,0,ets,3,0.003633120772274457,69.2416791399058,0.007182677654620082
1,553,0,theta,3,0.012027317411878725,232.38036538431456,0.024750500176886292
2,553,0,arima,3,0.002891686581162399,55.35852074387003,0.005972465579636284
3,553,1,ets,3,0.010966987068118708,249.0921664894819,0.021752549338135158
4,553,1,theta,3,0.006675646960837305,154.31636710179677,0.013713623982568311
5,553,1,arima,3,0.0005591793140153073,12.84705921818022,0.0011287932138182566
6,553,2,ets,3,0.0032201213477608594,69.81534306093151,0.006252602316294855
7,553,2,theta,3,0.01308318265686301,281.303917192067,0.02519481406228466
8,553,2,arima,3,0.003987045282313525,86.29708164262047,0.007888081483804448
9,553,0,ets,12,0.007672832788489491,157.01183802657474,0.01572709859867453
10,553,0,theta,12,0.018302427146601557,366.6718825130677,0.03371208306342893
11,553,0,arima,12,0.002265947701649784,46.25309013300193,0.00475162835631199
12,553,1,ets,12,0.007764855973200628,155.2917289750861,0.015293589390747694
13,553,1,theta,12,0.018206206375912467,357.6133451536025,0.033909513211841984
14,553,1,arima,12,0.004707768844309737,94.58574257399717,0.009393191339112025
15,553,2,ets,12,0.011045325362205262,214.99108432207808,0.020665285732717826
16,553,2,theta,12,0.023581550841787584,452.60606465433756,0.043654231192955355
17,553,2,arima,12,0.0036474243119121647,71.82630464474626,0.007736442744190712
