,id_serie,rep,id_model,output,sMAPE,MAE,MAPE
0,12297,0,ets,3,0.007319893346010344,90.23812716082618,0.014828790550353863
1,12297,0,theta,3,0.005498637083942767,67.62433622228157,0.011106416766024073
2,12297,0,arima,3,0.005318451268531595,65.34709767574077,0.010720696800409544
3,12297,1,ets,3,0.003716238948234119,45.36564686972512,0.007465541351736676
4,12297,1,theta,3,0.0034428744229349187,42.00760435940871,0.006908745927770227
5,12297,1,arima,3,0.0044065807588296495,53.77208419165587,0.008836603243656111
6,12297,2,ets,3,0.0037792124318832693,46.711234087829325,0.007592225295598882
7,12297,2,theta,3,0.0024332916299287764,30.035014886851968,0.004882859163861047
8,12297,2,arima,3,0.005854782474301284,72.51645627754199,0.011784883137527428
9,12297,0,ets,12,0.007083607716198981,86.37394273342481,0.014044220366948239
10,12297,0,theta,12,0.004443563181918193,54.33912225518194,0.008837152872127623
11,12297,0,arima,12,0.004975865550851737,60.80818591005914,0.009882853923478587
12,12297,1,ets,12,0.0034608811311997714,42.73801362584845,0.006932471505169699
13,12297,1,theta,12,0.003773466287834998,46.72790805247056,0.007595682490096835
14,12297,1,arima,12,0.004658277553500748,57.736570388209735,0.009385333593974123
15,12297,2,ets,12,0.005705076161500711,71.75257265186951,0.011340248064055687
16,12297,2,theta,12,0.003377434741099069,42.58008927823926,0.006734486143728904
17,12297,2,arima,12,0.0022699029460665505,28.665027028228224,0.004540441118678967
