,id_serie,rep,id_model,output,sMAPE,MAE,MAPE
0,7192,0,ets,3,0.1306023210746517,68.53931666320784,0.21805670164569238
1,7192,0,theta,3,0.2072777790868099,101.86952640222819,0.325711743700249
2,7192,0,arima,3,0.19148227406233884,95.35418060085225,0.3009186961062415
3,7192,1,ets,3,0.15771998414057672,116.09724595849622,0.4265595603029002
4,7192,1,theta,3,0.14447672386489063,104.70266712192397,0.39145606423103296
5,7192,1,arima,3,0.16442048517520216,122.0,0.4487739463601533
6,7192,2,ets,3,0.11712224076343578,127.3532490275034,0.27571561402890205
7,7192,2,theta,3,0.1008002516017591,107.61595708858188,0.2324917240097637
8,7192,2,arima,3,0.102803738317757,110.0,0.23870345971795248
9,7192,0,ets,12,0.1098028081677739,97.13363533679659,0.30783013312997487
10,7192,0,theta,12,0.07504528056972054,60.42589177801688,0.1669565411030959
11,7192,0,arima,12,0.12039297230509602,89.9774774774775,0.21122977913287475
12,7192,1,ets,12,0.05367677688151166,58.35706255260533,0.11621905169286327
13,7192,1,theta,12,0.06964281794617577,69.61869702879567,0.13313584486177257
14,7192,1,arima,12,0.03346942066701766,34.52152541383493,0.0657528726583562
15,7192,2,ets,12,0.04863766740207237,63.271606764148906,0.09405807723172332
16,7192,2,theta,12,0.10396995097604513,125.41402773450221,0.18671200385346923
17,7192,2,arima,12,0.05992997703652926,76.95473940270692,0.11310982342436583
