,id_serie,rep,id_model,output,sMAPE,MAE,MAPE
0,3515,0,ets,3,0.004280051533663895,39.877574901263564,0.008508323146200016
1,3515,0,theta,3,0.004248721248258274,39.62590132897276,0.00847224160508987
2,3515,0,arima,3,0.004021336622369946,37.539173501202036,0.00804056996180183
3,3515,1,ets,3,0.003368361720842779,31.314358126565214,0.006703320609007101
4,3515,1,theta,3,0.004167837736630702,38.715929356248125,0.008289784258081224
5,3515,1,arima,3,0.002752519395324428,25.604825451304652,0.005480999204222334
6,3515,2,ets,3,0.003738314208152376,34.650527484939325,0.007500352276349479
7,3515,2,theta,3,0.004742934190239634,44.00675106815985,0.00952346389292396
8,3515,2,arima,3,0.004483762633362538,41.59122795439938,0.009003415499668054
9,3515,0,ets,12,0.005396174175813704,50.365544076035725,0.010866385597576501
10,3515,0,theta,12,0.0058574619091928,54.71113790509571,0.011808334283426565
11,3515,0,arima,12,0.0061231821716623384,57.237843046853186,0.012354217903693029
12,3515,1,ets,12,0.0029393998292517507,27.319108562562633,0.0058954086352021665
13,3515,1,theta,12,0.003150787146170882,29.307288354203745,0.00632585916438802
14,3515,1,arima,12,0.003547878707538489,33.04128005891054,0.007138922101422095
15,3515,2,ets,12,0.004031260926261052,37.178912949297306,0.008043280777765671
16,3515,2,theta,12,0.003927204672581276,36.25395785611219,0.0078554060557724
17,3515,2,arima,12,0.003566773609948811,32.91208312470834,0.007125854115284888
