,id_serie,rep,id_model,output,sMAPE,MAE,MAPE
0,2785,0,ets,3,0.046667588348916426,894.1910188813254,0.09944192677554665
1,2785,0,theta,3,0.042467873042877226,810.1519093482015,0.0900587581160817
2,2785,0,arima,3,0.04358358697296956,832.4060989848471,0.09241536455902571
3,2785,1,ets,3,0.017639370327154385,360.3191678017247,0.03616969396129165
4,2785,1,theta,3,0.010863823197793563,218.57834655439424,0.021925626210186983
5,2785,1,arima,3,0.009588809435766243,192.94352423372462,0.01921883037474889
6,2785,2,ets,3,0.03085233520402685,626.0785785142434,0.06400345976595594
7,2785,2,theta,3,0.01640365141040311,325.83620563664044,0.0338098589932897
8,2785,2,arima,3,0.009032639822192021,177.75665861124253,0.018227714549297166
9,2785,0,ets,12,0.15501332443642638,2641.6828892247704,0.2654201335160579
10,2785,0,theta,12,0.12128693919868064,2129.099314162575,0.21398338039463347
11,2785,0,arima,12,0.06561409066192454,1220.8290820630743,0.11952585353137136
12,2785,1,ets,12,0.10301326579223992,1960.317745062921,0.20823580684383766
13,2785,1,theta,12,0.10599581335983807,2058.750716129234,0.22663269551425747
14,2785,1,arima,12,0.10984950864757731,2150.1092331428263,0.24041361965370708
15,2785,2,ets,12,0.04787214278905308,976.8580238029396,0.10127630633287082
16,2785,2,theta,12,0.07096288231930219,1486.6970724801565,0.15465868061329716
17,2785,2,arima,12,0.03920082567927493,792.2931138640159,0.08184971980401624
