id_serie,rep,output,sMAPE,MAE,MAPE
39,0,12,0.03585644,27.050295,0.07084332
45,0,12,0.06562445,38.33241,0.12156711
99,0,12,0.01016425,3.8146327,0.020434804
109,0,12,0.015242125,5.9549446,0.030653449
111,0,12,0.036287397,10.198622,0.075166345
133,0,12,0.04615088,5.309886,0.092449374
143,0,12,0.015182639,4.7468452,0.030061519
160,0,12,0.010409583,16.845465,0.020739606
162,0,12,0.11044484,29.865623,0.24964292
200,0,12,0.040570546,11.872832,0.08403838
206,0,12,0.0024123865,0.43290624,0.0048016678
261,0,12,0.019968001,5.190265,0.039772168
270,0,12,0.12144271,11.059434,0.24071066
299,0,12,0.07113061,56.55601,0.14045413
322,0,12,0.052509587,45.453876,0.10309123
365,0,12,0.06735672,53.863407,0.12836783
366,0,12,0.06124335,106.12855,0.13077547
382,0,12,0.04816901,11.130775,0.10119641
412,0,12,0.11608912,234.50868,0.26302764
428,0,12,0.020804098,56.551884,0.04187769
457,0,12,0.010444666,17.753431,0.02105921
466,0,12,0.044915956,29.23445,0.087095596
476,0,12,0.003719279,6.3192344,0.007467175
502,0,12,0.009393206,18.048002,0.018697387
513,0,12,0.009040952,15.199924,0.018254623
514,0,12,0.009640264,19.490675,0.019477498
532,0,12,0.0019134078,3.2064002,0.00382452
553,0,12,0.021983746,36.58649,0.04258618
586,0,12,0.0043714433,7.3023887,0.008780794
590,0,12,0.02131345,4.82562,0.041637562
603,0,12,0.04067837,50.991833,0.0840724
621,0,12,0.09387059,39.939785,0.20381264
651,0,12,0.0039795553,6.009562,0.0079538245
677,0,12,0.032369595,15.436908,0.0627279
682,0,12,0.0055393553,1.6703094,0.01108107
688,0,12,0.009481833,4.228248,0.01911931
723,0,12,0.0057831686,1.5722758,0.011720919
754,0,12,0.0116078565,11.284644,0.023338804
773,0,12,0.008519587,1.6205487,0.017137932
779,0,12,0.011617358,4.737883,0.0234052
780,0,12,0.016261507,5.1123157,0.032846253
782,0,12,0.009320447,6.2568073,0.018732134
790,0,12,0.022342969,46.19342,0.045397952
794,0,12,0.011826908,17.472933,0.023821494
863,0,12,0.0039508557,2.9555056,0.008170045
885,0,12,0.0054877517,2.717865,0.011024854
918,0,12,0.01836342,8.025409,0.037433326
950,0,12,0.009397584,3.1129277,0.018988699
1051,0,12,0.017031241,7.251963,0.034705084
1060,0,12,0.0069869976,5.7531877,0.014030538
1076,0,12,0.069678865,6.7234936,0.15005009
1077,0,12,0.20142072,34.50562,0.33521917
1089,0,12,0.007319866,2.440226,0.014525496
1117,0,12,0.01586349,12.080532,0.03216384
1134,0,12,0.006214573,5.109277,0.012493029
1141,0,12,0.006798159,6.175222,0.013522726
1148,0,12,0.019811904,7.649813,0.038883023
1191,0,12,0.021076,23.780588,0.042751297
1198,0,12,0.008367546,5.8211536,0.016639624
1261,0,12,0.01560095,11.224629,0.031707548
1324,0,12,0.018856887,7.935786,0.03793839
1327,0,12,0.0034493422,5.356947,0.006907115
1334,0,12,0.014731566,3.5489833,0.029762546
1356,0,12,0.022627573,26.290796,0.04620175
1375,0,12,0.0077400478,4.5920496,0.015557704
1383,0,12,0.017082877,11.493346,0.03406182
1385,0,12,0.017914616,25.565918,0.03521548
1401,0,12,0.0031012874,0.63345927,0.0062022656
1403,0,12,0.003632677,1.8015765,0.0072643477
1410,0,12,0.009869969,14.728103,0.019589787
1438,0,12,0.017469097,26.07567,0.03545555
1441,0,12,0.102090746,21.571054,0.19762062
1453,0,12,0.006927938,12.418891,0.013903496
1454,0,12,0.005888921,5.09689,0.011830248
1474,0,12,0.005088463,8.7178755,0.010195201
1479,0,12,0.009303086,5.5362477,0.018573213
1507,0,12,0.037604354,15.978105,0.077040136
1520,0,12,0.007785098,1.5207977,0.01560758
1563,0,12,0.0057758745,3.254264,0.011615614
1622,0,12,0.0134500945,8.959954,0.027136507
1650,0,12,0.3583799,309.59442,0.46120727
1651,0,12,0.0065725194,1.986786,0.013174993
1654,0,12,0.0060993466,2.9373424,0.012124755
1673,0,12,0.0043607336,0.79098344,0.008683786
1693,0,12,0.013237344,3.439543,0.02678661
1710,0,12,0.0029575378,0.72700924,0.005911716
1716,0,12,0.0060937093,1.7864405,0.012210392
1754,0,12,0.010335763,1.677781,0.02063361
1756,0,12,0.0071959896,5.689894,0.01446304
1760,0,12,0.0051400033,1.3646817,0.010289211
1771,0,12,0.00391663,4.8727694,0.007826092
1777,0,12,0.0172138,4.051127,0.03413969
1796,0,12,0.004933902,2.376168,0.009823146
1820,0,12,0.02145748,8.269625,0.043291736
1822,0,12,0.0056868787,7.4928117,0.011567929
1890,0,12,0.03070291,18.868721,0.062495332
1958,0,12,0.007378162,1.7210956,0.014799115
2017,0,12,0.005118252,1.2149819,0.010227709
2019,0,12,0.006399081,8.714322,0.012799364
2034,0,12,0.01084391,4.948481,0.021484375
2046,0,12,0.0049376916,4.344391,0.009889244
