id_serie,rep,output,sMAPE,MAE,MAPE
39,0,3,0.024595337,75.926544,0.04937208
39,0,3,0.024595337,75.926544,0.04937208
39,0,3,0.024595337,75.926544,0.04937208
39,1,3,0.029778142,89.30008,0.059247766
39,1,3,0.029778142,89.30008,0.059247766
39,1,3,0.029778142,89.30008,0.059247766
39,2,3,0.02462376,76.61947,0.048547458
39,2,3,0.02462376,76.61947,0.048547458
39,2,3,0.02462376,76.61947,0.048547458
39,0,12,0.040420104,31.381273,0.07813351
39,0,12,0.040420104,31.381273,0.07813351
39,0,12,0.040420104,31.381273,0.07813351
39,1,12,0.047002148,36.775986,0.0985116
39,1,12,0.047002148,36.775986,0.0985116
39,1,12,0.047002148,36.775986,0.0985116
39,2,12,0.024955098,18.586367,0.05097549
39,2,12,0.024955098,18.586367,0.05097549
39,2,12,0.024955098,18.586367,0.05097549
45,0,3,0.049258705,113.30181,0.09997586
45,0,3,0.049258705,113.30181,0.09997586
45,0,3,0.049258705,113.30181,0.09997586
45,1,3,0.06096293,126.04055,0.12936187
45,1,3,0.06096293,126.04055,0.12936187
45,1,3,0.06096293,126.04055,0.12936187
45,2,3,0.06223095,131.24658,0.11728368
45,2,3,0.06223095,131.24658,0.11728368
45,2,3,0.06223095,131.24658,0.11728368
45,0,12,0.039837223,21.95189,0.079199955
45,0,12,0.039837223,21.95189,0.079199955
45,0,12,0.039837223,21.95189,0.079199955
45,1,12,0.09516423,46.223278,0.21091038
45,1,12,0.09516423,46.223278,0.21091038
45,1,12,0.09516423,46.223278,0.21091038
45,2,12,0.050589282,24.618319,0.10318676
45,2,12,0.050589282,24.618319,0.10318676
45,2,12,0.050589282,24.618319,0.10318676
99,0,3,0.0028403641,4.3970814,0.005700353
99,0,3,0.0028403641,4.3970814,0.005700353
99,0,3,0.0028403641,4.3970814,0.005700353
99,1,3,0.0014113556,2.177246,0.0028143285
99,1,3,0.0014113556,2.177246,0.0028143285
99,1,3,0.0014113556,2.177246,0.0028143285
99,2,3,0.003605178,5.3754067,0.007199597
99,2,3,0.003605178,5.3754067,0.007199597
99,2,3,0.003605178,5.3754067,0.007199597
99,0,12,0.005034733,1.8998564,0.010032342
99,0,12,0.005034733,1.8998564,0.010032342
99,0,12,0.005034733,1.8998564,0.010032342
99,1,12,0.003323013,1.2132298,0.006636549
99,1,12,0.003323013,1.2132298,0.006636549
99,1,12,0.003323013,1.2132298,0.006636549
99,2,12,0.0064099026,2.2637355,0.01283332
99,2,12,0.0064099026,2.2637355,0.01283332
99,2,12,0.0064099026,2.2637355,0.01283332
109,0,3,0.0040423623,6.602783,0.008144415
109,0,3,0.0040423623,6.602783,0.008144415
109,0,3,0.0040423623,6.602783,0.008144415
109,1,3,0.01617303,25.66995,0.032655407
109,1,3,0.01617303,25.66995,0.032655407
109,1,3,0.01617303,25.66995,0.032655407
109,2,3,0.008857247,13.720349,0.017418832
109,2,3,0.008857247,13.720349,0.017418832
109,2,3,0.008857247,13.720349,0.017418832
109,0,12,0.008759223,3.4429579,0.017379193
109,0,12,0.008759223,3.4429579,0.017379193
109,0,12,0.008759223,3.4429579,0.017379193
109,1,12,0.009436469,3.3754613,0.01897437
109,1,12,0.009436469,3.3754613,0.01897437
109,1,12,0.009436469,3.3754613,0.01897437
109,2,12,0.0351741,10.273904,0.07233614
109,2,12,0.0351741,10.273904,0.07233614
109,2,12,0.0351741,10.273904,0.07233614
111,0,3,0.0075529236,9.066528,0.014991871
111,0,3,0.0075529236,9.066528,0.014991871
111,0,3,0.0075529236,9.066528,0.014991871
111,1,3,0.0013333538,1.5905896,0.0026621073
111,1,3,0.0013333538,1.5905896,0.0026621073
111,1,3,0.0013333538,1.5905896,0.0026621073
111,2,3,0.00936261,10.679497,0.018821662
111,2,3,0.00936261,10.679497,0.018821662
111,2,3,0.00936261,10.679497,0.018821662
111,0,12,0.037396993,10.499235,0.077563554
111,0,12,0.037396993,10.499235,0.077563554
111,0,12,0.037396993,10.499235,0.077563554
111,1,12,0.01750567,4.4724517,0.035763275
111,1,12,0.01750567,4.4724517,0.035763275
111,1,12,0.01750567,4.4724517,0.035763275
111,2,12,0.014097834,3.2275457,0.028434202
111,2,12,0.014097834,3.2275457,0.028434202
111,2,12,0.014097834,3.2275457,0.028434202
133,0,3,0.01166366,5.7031045,0.023715898
133,0,3,0.01166366,5.7031045,0.023715898
133,0,3,0.01166366,5.7031045,0.023715898
133,1,3,0.009280231,4.500014,0.018459672
133,1,3,0.009280231,4.500014,0.018459672
133,1,3,0.009280231,4.500014,0.018459672
133,2,3,0.07174709,29.87192,0.15543126
133,2,3,0.07174709,29.87192,0.15543126
133,2,3,0.07174709,29.87192,0.15543126
133,0,12,0.10121065,10.650956,0.23201676
133,0,12,0.10121065,10.650956,0.23201676
133,0,12,0.10121065,10.650956,0.23201676
133,1,12,0.03210568,4.5395412,0.06018442
133,1,12,0.03210568,4.5395412,0.06018442
133,1,12,0.03210568,4.5395412,0.06018442
133,2,12,0.034385614,8.062717,0.066177346
133,2,12,0.034385614,8.062717,0.066177346
133,2,12,0.034385614,8.062717,0.066177346
143,0,3,0.051037036,61.7883,0.10756991
143,0,3,0.051037036,61.7883,0.10756991
143,0,3,0.051037036,61.7883,0.10756991
143,1,3,0.02559705,31.29701,0.05003347
143,1,3,0.02559705,31.29701,0.05003347
143,1,3,0.02559705,31.29701,0.05003347
143,2,3,0.0082060285,10.25415,0.016318984
143,2,3,0.0082060285,10.25415,0.016318984
143,2,3,0.0082060285,10.25415,0.016318984
143,0,12,0.013286943,4.1487327,0.026316127
143,0,12,0.013286943,4.1487327,0.026316127
143,0,12,0.013286943,4.1487327,0.026316127
143,1,12,0.0432704,14.472772,0.08267806
143,1,12,0.0432704,14.472772,0.08267806
143,1,12,0.0432704,14.472772,0.08267806
143,2,12,0.010551229,3.121343,0.0210922
143,2,12,0.010551229,3.121343,0.0210922
143,2,12,0.010551229,3.121343,0.0210922
160,0,3,0.010068927,65.651695,0.020204274
160,0,3,0.010068927,65.651695,0.020204274
160,0,3,0.010068927,65.651695,0.020204274
160,1,3,0.01812591,116.78906,0.036960285
160,1,3,0.01812591,116.78906,0.036960285
160,1,3,0.01812591,116.78906,0.036960285
160,2,3,0.0086848,55.329865,0.017219976
160,2,3,0.0086848,55.329865,0.017219976
160,2,3,0.0086848,55.329865,0.017219976
160,0,12,0.008057769,12.98603,0.016118204
160,0,12,0.008057769,12.98603,0.016118204
160,0,12,0.008057769,12.98603,0.016118204
160,1,12,0.015461297,25.700203,0.030452153
160,1,12,0.015461297,25.700203,0.030452153
160,1,12,0.015461297,25.700203,0.030452153
160,2,12,0.008595133,14.300204,0.017322218
160,2,12,0.008595133,14.300204,0.017322218
160,2,12,0.008595133,14.300204,0.017322218
162,0,3,0.04721805,55.11302,0.09806931
162,0,3,0.04721805,55.11302,0.09806931
162,0,3,0.04721805,55.11302,0.09806931
162,1,3,0.03332042,42.749146,0.064330615
162,1,3,0.03332042,42.749146,0.064330615
162,1,3,0.03332042,42.749146,0.064330615
162,2,3,0.13179842,161.34856,0.30370095
162,2,3,0.13179842,161.34856,0.30370095
162,2,3,0.13179842,161.34856,0.30370095
162,0,12,0.16995597,43.62044,0.40978584
162,0,12,0.16995597,43.62044,0.40978584
162,0,12,0.16995597,43.62044,0.40978584
162,1,12,0.19998579,75.70854,0.33343068
162,1,12,0.19998579,75.70854,0.33343068
162,1,12,0.19998579,75.70854,0.33343068
162,2,12,0.04232569,21.500322,0.08182218
162,2,12,0.04232569,21.500322,0.08182218
162,2,12,0.04232569,21.500322,0.08182218
200,0,3,0.014499696,18.373753,0.029450623
200,0,3,0.014499696,18.373753,0.029450623
200,0,3,0.014499696,18.373753,0.029450623
200,1,3,0.019557854,24.23462,0.039824598
200,1,3,0.019557854,24.23462,0.039824598
200,1,3,0.019557854,24.23462,0.039824598
200,2,3,0.03909297,44.979443,0.08163231
200,2,3,0.03909297,44.979443,0.08163231
200,2,3,0.03909297,44.979443,0.08163231
200,0,12,0.04343757,12.665206,0.09008349
200,0,12,0.04343757,12.665206,0.09008349
200,0,12,0.04343757,12.665206,0.09008349
200,1,12,0.034598157,8.692519,0.068655975
200,1,12,0.034598157,8.692519,0.068655975
200,1,12,0.034598157,8.692519,0.068655975
200,2,12,0.031200532,8.5407715,0.060619712
200,2,12,0.031200532,8.5407715,0.060619712
200,2,12,0.031200532,8.5407715,0.060619712
206,0,3,0.0012467797,0.8934326,0.0024960355
206,0,3,0.0012467797,0.8934326,0.0024960355
206,0,3,0.0012467797,0.8934326,0.0024960355
206,1,3,0.004130181,2.9768474,0.008223084
206,1,3,0.004130181,2.9768474,0.008223084
206,1,3,0.004130181,2.9768474,0.008223084
206,2,3,0.001406531,1.0099419,0.0028150247
206,2,3,0.001406531,1.0099419,0.0028150247
206,2,3,0.001406531,1.0099419,0.0028150247
206,0,12,0.0042922357,0.7725203,0.008549149
206,0,12,0.0042922357,0.7725203,0.008549149
206,0,12,0.0042922357,0.7725203,0.008549149
206,1,12,0.018829845,3.536444,0.03694403
206,1,12,0.018829845,3.536444,0.03694403
206,1,12,0.018829845,3.536444,0.03694403
206,2,12,0.0030193431,0.58207023,0.006029138
206,2,12,0.0030193431,0.58207023,0.006029138
206,2,12,0.0030193431,0.58207023,0.006029138
261,0,3,0.03386064,34.170887,0.07004378
261,0,3,0.03386064,34.170887,0.07004378
261,0,3,0.03386064,34.170887,0.07004378
261,1,3,0.023471227,24.179579,0.045499343
261,1,3,0.023471227,24.179579,0.045499343
261,1,3,0.023471227,24.179579,0.045499343
261,2,3,0.031658012,33.969807,0.06088553
261,2,3,0.031658012,33.969807,0.06088553
261,2,3,0.031658012,33.969807,0.06088553
261,0,12,0.02281721,5.884697,0.04523326
261,0,12,0.02281721,5.884697,0.04523326
261,0,12,0.02281721,5.884697,0.04523326
261,1,12,0.01785966,4.7118516,0.036011066
261,1,12,0.01785966,4.7118516,0.036011066
261,1,12,0.01785966,4.7118516,0.036011066
261,2,12,0.020747373,5.454799,0.04168299
261,2,12,0.020747373,5.454799,0.04168299
261,2,12,0.020747373,5.454799,0.04168299
270,0,3,0.048375934,20.498055,0.10410797
270,0,3,0.048375934,20.498055,0.10410797
270,0,3,0.048375934,20.498055,0.10410797
270,1,3,0.08575195,31.166609,0.1907504
270,1,3,0.08575195,31.166609,0.1907504
270,1,3,0.08575195,31.166609,0.1907504
270,2,3,0.07635747,23.74146,0.16230112
270,2,3,0.07635747,23.74146,0.16230112
270,2,3,0.07635747,23.74146,0.16230112
270,0,12,0.18064667,13.539031,0.46334326
270,0,12,0.18064667,13.539031,0.46334326
270,0,12,0.18064667,13.539031,0.46334326
270,1,12,0.084134705,7.213948,0.15669708
270,1,12,0.084134705,7.213948,0.15669708
270,1,12,0.084134705,7.213948,0.15669708
270,2,12,0.173147,29.848915,0.29496422
270,2,12,0.173147,29.848915,0.29496422
270,2,12,0.173147,29.848915,0.29496422
299,0,3,0.028786922,106.45568,0.06028214
299,0,3,0.028786922,106.45568,0.06028214
299,0,3,0.028786922,106.45568,0.06028214
299,1,3,0.024897859,67.29381,0.045821194
299,1,3,0.024897859,67.29381,0.045821194
299,1,3,0.024897859,67.29381,0.045821194
299,2,3,0.013326533,32.374023,0.02999927
299,2,3,0.013326533,32.374023,0.02999927
299,2,3,0.013326533,32.374023,0.02999927
299,0,12,0.050999932,39.632294,0.10061893
299,0,12,0.050999932,39.632294,0.10061893
299,0,12,0.050999932,39.632294,0.10061893
299,1,12,0.045313098,34.35458,0.091897786
299,1,12,0.045313098,34.35458,0.091897786
299,1,12,0.045313098,34.35458,0.091897786
299,2,12,0.04157942,30.148031,0.09134845
299,2,12,0.04157942,30.148031,0.09134845
299,2,12,0.04157942,30.148031,0.09134845
322,0,3,0.013905925,48.859646,0.027717233
322,0,3,0.013905925,48.859646,0.027717233
322,0,3,0.013905925,48.859646,0.027717233
322,1,3,0.052131824,148.38737,0.10124841
322,1,3,0.052131824,148.38737,0.10124841
322,1,3,0.052131824,148.38737,0.10124841
322,2,3,0.014278713,48.401043,0.02843373
322,2,3,0.014278713,48.401043,0.02843373
322,2,3,0.014278713,48.401043,0.02843373
322,0,12,0.036775026,31.375517,0.07382318
322,0,12,0.036775026,31.375517,0.07382318
322,0,12,0.036775026,31.375517,0.07382318
322,1,12,0.028533604,25.906885,0.0636143
322,1,12,0.028533604,25.906885,0.0636143
322,1,12,0.028533604,25.906885,0.0636143
322,2,12,0.013746967,12.352874,0.027593948
322,2,12,0.013746967,12.352874,0.027593948
322,2,12,0.013746967,12.352874,0.027593948
365,0,3,0.036370434,114.84787,0.0707515
365,0,3,0.036370434,114.84787,0.0707515
365,0,3,0.036370434,114.84787,0.0707515
365,1,3,0.01318407,40.092777,0.026434137
365,1,3,0.01318407,40.092777,0.026434137
365,1,3,0.01318407,40.092777,0.026434137
365,2,3,0.04726038,136.65321,0.095202394
365,2,3,0.04726038,136.65321,0.095202394
365,2,3,0.04726038,136.65321,0.095202394
365,0,12,0.038623717,29.794168,0.07682189
365,0,12,0.038623717,29.794168,0.07682189
365,0,12,0.038623717,29.794168,0.07682189
365,1,12,0.05671456,42.62653,0.11544576
365,1,12,0.05671456,42.62653,0.11544576
365,1,12,0.05671456,42.62653,0.11544576
365,2,12,0.09137511,78.91301,0.16907394
365,2,12,0.09137511,78.91301,0.16907394
365,2,12,0.09137511,78.91301,0.16907394
366,0,3,0.023322191,175.74524,0.046163205
366,0,3,0.023322191,175.74524,0.046163205
366,0,3,0.023322191,175.74524,0.046163205
366,1,3,0.032755323,242.69226,0.06655355
366,1,3,0.032755323,242.69226,0.06655355
366,1,3,0.032755323,242.69226,0.06655355
366,2,3,0.03466691,259.91113,0.06872892
366,2,3,0.03466691,259.91113,0.06872892
366,2,3,0.03466691,259.91113,0.06872892
366,0,12,0.03341795,59.9378,0.06915235
366,0,12,0.03341795,59.9378,0.06915235
366,0,12,0.03341795,59.9378,0.06915235
366,1,12,0.09131057,138.79613,0.19961321
366,1,12,0.09131057,138.79613,0.19961321
366,1,12,0.09131057,138.79613,0.19961321
366,2,12,0.1728724,196.03914,0.41803208
366,2,12,0.1728724,196.03914,0.41803208
366,2,12,0.1728724,196.03914,0.41803208
382,0,3,0.014205697,13.829305,0.028756052
382,0,3,0.014205697,13.829305,0.028756052
382,0,3,0.014205697,13.829305,0.028756052
382,1,3,0.010062457,9.918226,0.020010382
382,1,3,0.010062457,9.918226,0.020010382
382,1,3,0.010062457,9.918226,0.020010382
382,2,3,0.024653634,23.664795,0.050437596
382,2,3,0.024653634,23.664795,0.050437596
382,2,3,0.024653634,23.664795,0.050437596
382,0,12,0.03843358,8.994539,0.08027404
382,0,12,0.03843358,8.994539,0.08027404
382,0,12,0.03843358,8.994539,0.08027404
382,1,12,0.08571887,16.804556,0.18875529
382,1,12,0.08571887,16.804556,0.18875529
382,1,12,0.08571887,16.804556,0.18875529
382,2,12,0.024864072,4.447071,0.049669925
382,2,12,0.024864072,4.447071,0.049669925
382,2,12,0.024864072,4.447071,0.049669925
412,0,3,0.007840348,80.76682,0.015640706
412,0,3,0.007840348,80.76682,0.015640706
412,0,3,0.007840348,80.76682,0.015640706
412,1,3,0.01780956,169.72993,0.035835136
412,1,3,0.01780956,169.72993,0.035835136
412,1,3,0.01780956,169.72993,0.035835136
412,2,3,0.03862332,318.81686,0.080196984
412,2,3,0.03862332,318.81686,0.080196984
412,2,3,0.03862332,318.81686,0.080196984
412,0,12,0.08750418,181.41121,0.18887757
412,0,12,0.08750418,181.41121,0.18887757
412,0,12,0.08750418,181.41121,0.18887757
412,1,12,0.025103172,38.34621,0.05010547
412,1,12,0.025103172,38.34621,0.05010547
412,1,12,0.025103172,38.34621,0.05010547
412,2,12,0.021555653,28.239683,0.043331612
412,2,12,0.021555653,28.239683,0.043331612
412,2,12,0.021555653,28.239683,0.043331612
428,0,3,0.013988592,148.1443,0.02753686
428,0,3,0.013988592,148.1443,0.02753686
428,0,3,0.013988592,148.1443,0.02753686
428,1,3,0.01986561,214.70833,0.038940664
428,1,3,0.01986561,214.70833,0.038940664
428,1,3,0.01986561,214.70833,0.038940664
428,2,3,0.008812613,100.22699,0.017585678
428,2,3,0.008812613,100.22699,0.017585678
428,2,3,0.008812613,100.22699,0.017585678
428,0,12,0.022798097,63.19372,0.044743363
428,0,12,0.022798097,63.19372,0.044743363
428,0,12,0.022798097,63.19372,0.044743363
428,1,12,0.007821008,20.96578,0.01573877
428,1,12,0.007821008,20.96578,0.01573877
428,1,12,0.007821008,20.96578,0.01573877
428,2,12,0.0058579464,15.133869,0.011823017
428,2,12,0.0058579464,15.133869,0.011823017
428,2,12,0.0058579464,15.133869,0.011823017
457,0,3,0.0025148941,17.337132,0.0050112973
457,0,3,0.0025148941,17.337132,0.0050112973
457,0,3,0.0025148941,17.337132,0.0050112973
457,1,3,0.002798996,19.544489,0.0055862907
457,1,3,0.002798996,19.544489,0.0055862907
457,1,3,0.002798996,19.544489,0.0055862907
457,2,3,0.00085638463,5.868815,0.0017140537
457,2,3,0.00085638463,5.868815,0.0017140537
457,2,3,0.00085638463,5.868815,0.0017140537
457,0,12,0.004451924,7.6123524,0.0089082075
457,0,12,0.004451924,7.6123524,0.0089082075
457,0,12,0.004451924,7.6123524,0.0089082075
457,1,12,0.002912811,4.8407598,0.00582223
457,1,12,0.002912811,4.8407598,0.00582223
457,1,12,0.002912811,4.8407598,0.00582223
457,2,12,0.0017898807,2.9020455,0.003551349
457,2,12,0.0017898807,2.9020455,0.003551349
457,2,12,0.0017898807,2.9020455,0.003551349
466,0,3,0.03429707,77.08875,0.06685084
466,0,3,0.03429707,77.08875,0.06685084
466,0,3,0.03429707,77.08875,0.06685084
466,1,3,0.060983848,160.5495,0.11459295
466,1,3,0.060983848,160.5495,0.11459295
466,1,3,0.060983848,160.5495,0.11459295
466,2,3,0.014408169,40.322292,0.029050054
466,2,3,0.014408169,40.322292,0.029050054
466,2,3,0.014408169,40.322292,0.029050054
466,0,12,0.04783795,31.581884,0.092427336
466,0,12,0.04783795,31.581884,0.092427336
466,0,12,0.04783795,31.581884,0.092427336
466,1,12,0.02606548,18.16485,0.05275765
466,1,12,0.02606548,18.16485,0.05275765
466,1,12,0.02606548,18.16485,0.05275765
466,2,12,0.03101127,21.036234,0.06089746
466,2,12,0.03101127,21.036234,0.06089746
466,2,12,0.03101127,21.036234,0.06089746
476,0,3,0.0021200508,14.527236,0.0042354777
476,0,3,0.0021200508,14.527236,0.0042354777
476,0,3,0.0021200508,14.527236,0.0042354777
476,1,3,0.0018038504,12.3139105,0.0036000812
476,1,3,0.0018038504,12.3139105,0.0036000812
476,1,3,0.0018038504,12.3139105,0.0036000812
476,2,3,0.0037557702,25.576715,0.0075394274
476,2,3,0.0037557702,25.576715,0.0075394274
476,2,3,0.0037557702,25.576715,0.0075394274
476,0,12,0.006820636,11.550435,0.013743025
476,0,12,0.006820636,11.550435,0.013743025
476,0,12,0.006820636,11.550435,0.013743025
476,1,12,0.005133371,8.517734,0.010321298
476,1,12,0.005133371,8.517734,0.010321298
476,1,12,0.005133371,8.517734,0.010321298
476,2,12,0.016973149,28.49665,0.033401843
476,2,12,0.016973149,28.49665,0.033401843
476,2,12,0.016973149,28.49665,0.033401843
