id_serie,rep,output,sMAPE,MAE,MAPE
39,0,3,0.024611212166666667,151.85299228333332,0.04838480083333333
39,1,3,0.029765307833333334,178.60009206666666,0.05941678
39,2,3,0.024604316333333334,153.23895798333334,0.04953107616666667
39,0,12,0.0408115855,207.74228886666668,0.08453343966666667
39,1,12,0.047981461333333336,248.12882816666666,0.09261374683333333
39,2,12,0.025182806,122.81392331666666,0.05041115733333333
45,0,3,0.04928707216666667,226.60355035,0.0992756555
45,1,3,0.060959116499999993,252.08108286666666,0.11962125483333333
45,2,3,0.0621916455,262.4932056,0.12673806733333332
45,0,12,0.040179693333333336,145.00811323333335,0.08160973216666667
45,1,12,0.09516608033333333,300.4513208666667,0.187953638
45,2,12,0.0507134945,160.75262449999997,0.0985738875
99,0,3,0.00293554305,9.229804730166666,0.0058675115
99,1,3,0.0015280511333333334,4.894954234666667,0.00305198775
99,2,3,0.003605121,10.750765615,0.007188982333333333
99,0,12,0.005420436333333334,14.075766763333332,0.010716926166666668
99,1,12,0.003773831,9.855384766666667,0.0075164916666666665
99,2,12,0.006529792966666666,15.216489335,0.013087600500000001
109,0,3,0.00456558265,15.756604261666666,0.009135302166666668
109,1,3,0.016175634333333334,51.33992186166667,0.032141533666666666
109,2,3,0.0091890545,29.02381375666667,0.018333228166666667
109,0,12,0.011343247833333334,34.42001319166666,0.02239940333333333
109,1,12,0.0130739395,37.577610398333334,0.0262736835
109,2,12,0.035243675,66.78038838166667,0.06945508166666667
111,0,3,0.007548917633333333,18.133056008333334,0.0151063395
111,1,3,0.0018945784,5.191974055833333,0.00379142265
111,2,3,0.009401378,21.485319791666665,0.018511221333333334
111,0,12,0.037401274666666665,68.2450372,0.07458885033333335
111,1,12,0.017823859,30.02071856166667,0.035708483166666666
111,2,12,0.0142313175,21.335314085,0.028111480333333334
133,0,3,0.012730738333333332,12.831029193333332,0.025300377666666665
133,1,3,0.016430422833333333,19.54691099,0.033164510333333334
133,2,3,0.07176307266666668,59.743841155,0.14211742
133,0,12,0.10689991466666668,73.30306772166666,0.21224588149999998
133,1,12,0.06239695716666666,82.4975073,0.128051307
