,id_model,id_serie,input,output,rep,sMAPE,MAE,MAPE
2,2,133,12,12,0,0.354549108,8981.129314,1.105283483
3,0,133,12,3,0,0.028602778,123.798584,0.055625316
4,1,133,12,3,0,0.310736838,2007.071438,0.901651219
5,2,133,12,3,0,0.055219629,232.9730988,0.104663587
6,0,133,12,12,1,0.248782348,6687.689941,0.669849562
7,1,133,12,12,1,0.267519251,7375.325227,0.745083187
8,2,133,12,12,1,0.254028915,6876.754354,0.691189303
9,0,133,12,3,1,0.108933584,426.7230225,0.19600201
10,1,133,12,3,1,0.323459857,2076.905018,0.957156686
11,2,133,12,3,1,0.053132759,219.1639211,0.100580605
12,0,133,12,12,2,0.048785271,1672.172363,0.113048634
13,1,133,12,12,2,0.043027773,1465.954269,0.100721947
14,2,133,12,12,2,0.041549833,1413.418039,0.097333151
15,0,133,12,3,2,0.050957339,214.5390015,0.112123213
16,1,133,12,3,2,0.359906356,2258.081986,1.135717808
17,2,133,12,3,2,0.122557936,560.9403643,0.28811898
0,0,143,12,12,0,0.038443396,1749.78833,0.079815929
1,1,143,12,12,0,0.134339114,5272.003694,0.235947904
2,2,143,12,12,0,0.016722391,754.3879437,0.0349134
3,0,143,12,3,0,0.022328539,250.121582,0.043109815
4,1,143,12,3,0,0.147565734,1472.615235,0.257000372
5,2,143,12,3,0,0.034463618,381.5284999,0.066409569
6,0,143,12,12,1,0.046388229,2059.173462,0.087143165
7,1,143,12,12,1,0.152113144,6083.928235,0.262224595
8,2,143,12,12,1,0.042672071,1885.85566,0.079498975
9,0,143,12,3,1,0.025375887,280.4140625,0.053914096
10,1,143,12,3,1,0.117757262,1134.634289,0.209291675
11,2,143,12,3,1,0.023969647,262.5022532,0.050033742
12,0,143,12,12,2,0.016846257,707.947998,0.0311702
13,1,143,12,12,2,0.117050316,4477.680209,0.207947853
14,2,143,12,12,2,0.015147033,637.6051746,0.027950825
15,0,143,12,3,2,0.010001427,110.807373,0.019681247
16,1,143,12,3,2,0.135384675,1330.016777,0.238328594
17,2,143,12,3,2,0.004136862,46.17130071,0.008317718
0,0,160,12,12,0,0.013309878,3117.805664,0.026942641
1,1,160,12,12,0,0.014451156,3389.799,0.029342465
2,2,160,12,12,0,0.011492213,2686.183142,0.023173673
3,0,160,12,3,0,0.007854234,461.8125,0.015525901
4,1,160,12,3,0,0.01169129,689.8995,0.023389369
5,2,160,12,3,0,0.009513819,559.4956996,0.018826623
6,0,160,12,12,1,0.014679882,3409.911133,0.028824389
7,1,160,12,12,1,0.005037037,1190,0.010156614
8,2,160,12,12,1,0.005383008,1264.559923,0.010671793
9,0,160,12,3,1,0.01696489,984.8984375,0.033076809
10,1,160,12,3,1,0.009475465,559.9999975,0.018898906
11,2,160,12,3,1,0.012319121,718.4699651,0.02397565
12,0,160,12,12,2,0.00980339,2344.167969,0.019311418
13,1,160,12,12,2,0.011609022,2769.798994,0.022839844
