,id_model,id_serie,input,output,rep,sMAPE,MAE,MAPE
10,1,15799,12,3,1,0.174491571,1400.399616,0.296942919
11,2,15799,12,3,1,0.069788164,707.1757297,0.150057162
12,0,15799,12,12,2,0.173891113,11777.1605,0.295630212
13,1,15799,12,12,2,0.50383096,26039.99957,0.665927365
14,2,15799,12,12,2,0.088693192,6536.741554,0.169776932
15,0,15799,12,3,2,0.079535837,843.3805664,0.172942027
16,1,15799,12,3,2,0.192553077,1575.942481,0.322857013
17,2,15799,12,3,2,0.081171993,862.2627062,0.176648769
0,0,15806,12,12,0,0.059673816,2145.615691,0.105669545
1,1,15806,12,12,0,0.154596596,5026.613799,0.25982399
2,2,15806,12,12,0,0.04989928,1971.653051,0.106111323
3,0,15806,12,3,0,0.068868559,676.3508046,0.129024826
4,1,15806,12,3,0,0.166811984,1500.726957,0.285688215
5,2,15806,12,3,0,0.04950138,495.1190144,0.094032889
6,0,15806,12,12,1,0.087224542,2425.665837,0.204185109
7,1,15806,12,12,1,0.136345356,3788.661569,0.31941643
8,2,15806,12,12,1,0.072407579,1995.311979,0.171754882
9,0,15806,12,3,1,0.086886023,788.5916112,0.15417422
10,1,15806,12,3,1,0.141759512,1209.754457,0.24068406
11,2,15806,12,3,1,0.0599132,560.8120693,0.111739668
12,0,15806,12,12,2,0.157373572,2439.473483,0.258180818
13,1,15806,12,12,2,0.255527039,6157.803049,0.770519472
14,2,15806,12,12,2,0.190230248,2867.387915,0.297380476
15,0,15806,12,3,2,0.024107546,212.3072258,0.047758652
16,1,15806,12,3,2,0.105938427,849.720818,0.191442897
17,2,15806,12,3,2,0.01599596,139.6599912,0.031343262
0,0,15812,12,12,0,0.025917484,1047.574003,0.048454635
1,1,15812,12,12,0,0.219762751,7413.008561,0.35542809
2,2,15812,12,12,0,0.028568591,1151.182422,0.053334138
3,0,15812,12,3,0,0.026887305,262.4665562,0.050498515
4,1,15812,12,3,0,0.191660115,1593.495266,0.319311093
5,2,15812,12,3,0,0.029205496,291.6209509,0.059286327
6,0,15812,12,12,1,0.026216645,1049.403621,0.051009636
7,1,15812,12,12,1,0.229386607,7605.199337,0.370310002
8,2,15812,12,12,1,0.029999255,1199.090834,0.058612844
9,0,15812,12,3,1,0.026786608,271.4450479,0.052804726
10,1,15812,12,3,1,0.205358729,1724.257942,0.339529882
11,2,15812,12,3,1,0.013731271,140.0336941,0.0280739
12,0,15812,12,12,2,0.018118809,728.1703119,0.037670754
13,1,15812,12,12,2,0.234625642,7634.991008,0.376688212
14,2,15812,12,12,2,0.023359271,932.0857396,0.046606802
15,0,15812,12,3,2,0.022333485,234.6284887,0.041974034
16,1,15812,12,3,2,0.235975691,2050.567937,0.376570595
17,2,15812,12,3,2,0.032288374,335.9401871,0.060874256
0,0,15857,12,12,0,0.075965155,3177.745361,0.142007009
1,1,15857,12,12,0,0.220314945,12190.03324,0.580989552
2,2,15857,12,12,0,0.072818951,3210.896055,0.151489144
3,0,15857,12,3,0,0.07073097,750.9545898,0.151688981
4,1,15857,12,3,0,0.242937767,3189.7,0.642207116
5,2,15857,12,3,0,0.033701257,346.673841,0.070251705
6,0,15857,12,12,1,0.125805303,5930.707886,0.300172902
7,1,15857,12,12,1,0.234383342,13170,0.658198252
8,2,15857,12,12,1,0.160508408,8211.089897,0.417260358
9,0,15857,12,3,1,0.009286744,92.80664063,0.019008929
10,1,15857,12,3,1,0.24631101,3255,0.663935604
11,2,15857,12,3,1,0.037620646,377.3382668,0.075363332
12,0,15857,12,12,2,0.19962339,9427.766968,0.523911792
13,1,15857,12,12,2,0.310166108,16995.8,0.926588114
14,2,15857,12,12,2,0.169792832,7730.804183,0.431485503
15,0,15857,12,3,2,0.027836466,316.5568848,0.058063552
16,1,15857,12,3,2,0.199982702,2774.7,0.502114342
17,2,15857,12,3,2,0.058136244,685.1440029,0.125828875
0,0,15929,12,12,0,0.345955122,47653.79553,0.489677331
1,1,15929,12,12,0,0.915485062,88127.46351,0.953146346
2,2,15929,12,12,0,0.307483819,43645.47177,0.447340186
3,0,15929,12,3,0,0.297568786,12469.29434,0.458642376
4,1,15929,12,3,0,0.924494214,26119.9584,0.960730913
5,2,15929,12,3,0,0.18906201,8645.391389,0.316981902
6,0,15929,12,12,1,0.297962959,22217.19297,0.458241637
7,1,15929,12,12,1,0.847863133,44406.35827,0.916792717
8,2,15929,12,12,1,0.053885025,4978.925681,0.096213202
9,0,15929,12,3,1,0.277598997,10791.82158,0.432181686
10,1,15929,12,3,1,0.921201724,23815.14337,0.958901758
11,2,15929,12,3,1,0.197676325,8197.598064,0.328662079
12,0,15929,12,12,2,0.584598185,36619.58807,0.744074003
13,1,15929,12,12,2,0.852942638,45691.24543,0.918851749
14,2,15929,12,12,2,0.150007777,13324.76055,0.258557752
15,0,15929,12,3,2,0.10969902,4193.556934,0.200543405
16,1,15929,12,3,2,0.907975769,20187.67948,0.951697682
17,2,15929,12,3,2,0.153747113,5653.030653,0.26652442
0,0,15935,12,12,0,0.060663628,5726.10752,0.117592776
1,1,15935,12,12,0,0.312971008,22807.34217,0.469369745
2,2,15935,12,12,0,0.046893821,4428.873677,0.0942055
3,0,15935,12,3,0,0.043183766,1063.209814,0.082447384
4,1,15935,12,3,0,0.324589995,6293.8,0.489790531
5,2,15935,12,3,0,0.051336568,1254.135158,0.097607245
6,0,15935,12,12,1,0.091736301,6701.056396,0.15447834
7,1,15935,12,12,1,0.247556038,15824.61896,0.376286447
8,2,15935,12,12,1,0.076124593,5762.118147,0.138878256
9,0,15935,12,3,1,0.038744641,991.710498,0.076394071
10,1,15935,12,3,1,0.341492655,6679.75,0.508949667
11,2,15935,12,3,1,0.022681971,608.9926098,0.046701773
12,0,15935,12,12,2,0.093503171,5921.342773,0.19804452
13,1,15935,12,12,2,0.123844255,6548.874916,0.219379261
14,2,15935,12,12,2,0.112790061,7555.120445,0.254324391
15,0,15935,12,3,2,0.088466623,1925.82749,0.150448575
16,1,15935,12,3,2,0.307097386,5567,0.461672218
17,2,15935,12,3,2,0.144072876,2983.881589,0.237465855
0,0,15938,12,12,0,0.040682265,2429.209375,0.084844748
1,1,15938,12,12,0,0.064561945,4006.738887,0.142312553
2,2,15938,12,12,0,0.05426914,3317.699586,0.117918088
3,0,15938,12,3,0,0.01343471,185.0508789,0.027516659
4,1,15938,12,3,0,0.088275626,1327.84603,0.195611489
5,2,15938,12,3,0,0.015918234,220.2093716,0.033156139
6,0,15938,12,12,1,0.047424773,2754.039062,0.087453076
7,1,15938,12,12,1,0.049349366,3137.376778,0.108421778
8,2,15938,12,12,1,0.049738335,2874.284663,0.090619122
9,0,15938,12,3,1,0.022993144,325.7054199,0.045204627
10,1,15938,12,3,1,0.071239576,1092.877614,0.154590958
11,2,15938,12,3,1,0.013776835,194.892696,0.026861728
12,0,15938,12,12,2,0.027531179,1607.14502,0.057337248
13,1,15938,12,12,2,0.082327012,5101.877151,0.180354378
14,2,15938,12,12,2,0.02452415,1428.19251,0.051114561
15,0,15938,12,3,2,0.095937597,1497.350928,0.213837841
16,1,15938,12,3,2,0.078314043,1198.91901,0.171312165
17,2,15938,12,3,2,0.074903335,1142.476323,0.163441281
0,0,15942,12,12,0,0.242364376,16500.09209,0.662329926
1,1,15942,12,12,0,0.352851857,28123.32514,1.096027463
2,2,15942,12,12,0,0.239378543,16232.8441,0.644540249
3,0,15942,12,3,0,0.146452615,2092.774902,0.342653426
4,1,15942,12,3,0,0.372653301,7245.2,1.188156111
5,2,15942,12,3,0,0.123533596,1719.106707,0.282046989
6,0,15942,12,12,1,0.087473841,6258.700586,0.164463048
7,1,15942,12,12,1,0.180891406,16693.90867,0.470877425
8,2,15942,12,12,1,0.078398751,5664.223264,0.150918284
9,0,15942,12,3,1,0.093953169,1289.062109,0.209049564
10,1,15942,12,3,1,0.364868883,7141.45147,1.150278283
11,2,15942,12,3,1,0.122183993,1730.309823,0.27988509
12,0,15942,12,12,2,0.055762091,3644.77749,0.120611854
13,1,15942,12,12,2,0.278010201,23968.28349,0.77315809
14,2,15942,12,12,2,0.039159966,2518.898294,0.08282688
15,0,15942,12,3,2,0.115183929,1713.746387,0.263772694
16,1,15942,12,3,2,0.340339745,6792.036631,1.034390764
17,2,15942,12,3,2,0.118742375,1773.823934,0.272015995
0,0,15949,12,12,0,0.048324049,9335.606934,0.090984577
1,1,15949,12,12,0,0.125844154,22576.83896,0.222910301
2,2,15949,12,12,0,0.01992455,3955.228647,0.038320131
3,0,15949,12,3,0,0.027861159,1418.183594,0.05373651
4,1,15949,12,3,0,0.140985408,6464.9,0.246899338
5,2,15949,12,3,0,0.027428141,1396.730633,0.052970243
6,0,15949,12,12,1,0.039235622,6422.78418,0.073167674
7,1,15949,12,12,1,0.043531802,7070,0.079815952
8,2,15949,12,12,1,0.035641427,5912.274038,0.069195286
9,0,15949,12,3,1,0.02606665,1340.356445,0.054261466
10,1,15949,12,3,1,0.121235867,5415,0.215820841
11,2,15949,12,3,1,0.010397163,518.9013605,0.020393331
12,0,15949,12,12,2,0.055345213,7399.454102,0.104683476
13,1,15949,12,12,2,0.071850531,10771.19935,0.158697538
14,2,15949,12,12,2,0.044809127,6527.221007,0.095496231
15,0,15949,12,3,2,0.018329789,908.6230469,0.036066911
16,1,15949,12,3,2,0.120169268,5353.161045,0.214365789
17,2,15949,12,3,2,0.018440672,903.527878,0.03599674
0,0,15955,12,12,0,0.159891809,125491.7914,0.272167908
1,1,15955,12,12,0,0.941329983,441417.0597,0.969634162
2,2,15955,12,12,0,0.095261118,79185.46594,0.169100509
3,0,15955,12,3,0,0.043857106,10069.23047,0.083947161
4,1,15955,12,3,0,0.943486194,116346,0.970920231
5,2,15955,12,3,0,0.02402409,5622.560518,0.046898458
6,0,15955,12,12,1,0.125329083,83495.85703,0.222161866
7,1,15955,12,12,1,0.930589891,361377.3354,0.964032501
8,2,15955,12,12,1,0.072243715,50512.53534,0.133933036
9,0,15955,12,3,1,0.024012802,5501.034375,0.046713245
10,1,15955,12,3,1,0.942556897,113825.8052,0.970424052
11,2,15955,12,3,1,0.059444655,13162.59259,0.112169258
12,0,15955,12,12,2,0.603535256,268919.0844,0.753671099
13,1,15955,12,12,2,0.928919802,344081.6732,0.963025328
14,2,15955,12,12,2,0.557422835,255726.4854,0.716527795
15,0,15955,12,3,2,0.108427102,22380.21914,0.195563494
16,1,15955,12,3,2,0.941360605,110938.791,0.969791535
17,2,15955,12,3,2,0.092365074,19345.21658,0.169072156
0,0,15970,12,12,0,0.092338927,385.6296539,0.179626474
1,1,15970,12,12,0,0.626965726,6938.007293,3.528738567
2,2,15970,12,12,0,0.373725096,2463.354647,1.297448214
3,0,15970,12,3,0,0.097253054,89.41601563,0.215640489
4,1,15970,12,3,0,0.678771353,1753.829328,4.234363895
5,2,15970,12,3,0,0.191368555,196.4255802,0.473993515
6,0,15970,12,12,1,0.1953055,1451.391663,0.560736958
7,1,15970,12,12,1,0.51251549,6287.056432,2.241535188
8,2,15970,12,12,1,0.316915041,2774.401509,1.024003836
9,0,15970,12,3,1,0.26440461,327.8120117,0.721555848
10,1,15970,12,3,1,0.656691129,1744.499954,3.832660762
11,2,15970,12,3,1,0.204134862,233.9227907,0.514378866
12,0,15970,12,12,2,0.157383436,1533.08551,0.418620387
13,1,15970,12,12,2,0.396959674,5403.030052,1.401867529
14,2,15970,12,12,2,0.316306866,3797.386036,0.994122707
15,0,15970,12,3,2,0.101363583,111.670105,0.232517808
16,1,15970,12,3,2,0.622162044,1696.036343,3.359385168
17,2,15970,12,3,2,0.20934954,272.7248472,0.551503787
0,0,16007,12,12,0,0.27715217,20930.69495,0.448558064
1,1,16007,12,12,0,0.635627623,36747.33001,0.760847233
2,2,16007,12,12,0,0.1747819,14475.94254,0.319278378
3,0,16007,12,3,0,0.215958572,4770.431641,0.33901393
4,1,16007,12,3,0,0.651906519,10600,0.787416385
5,2,16007,12,3,0,0.092826177,2281.525794,0.161592691
6,0,16007,12,12,1,0.211553525,15251.88477,0.387016431
7,1,16007,12,12,1,0.616663329,30790,0.751936056
8,2,16007,12,12,1,0.178326928,12904.8835,0.329724803
9,0,16007,12,3,1,0.16225469,3291.935303,0.269242977
10,1,16007,12,3,1,0.620689655,9000,0.76437466
11,2,16007,12,3,1,0.117413345,2469.286425,0.204316393
12,0,16007,12,12,2,0.075941542,6167.449707,0.172982736
13,1,16007,12,12,2,0.643517835,32475.0776,0.771060001
14,2,16007,12,12,2,0.111703557,8493.892258,0.203442859
15,0,16007,12,3,2,0.358915409,6872.376953,0.505159184
16,1,16007,12,3,2,0.658381134,10330,0.79082353
17,2,16007,12,3,2,0.321467278,6329.765945,0.476847559
0,0,16008,12,12,0,0.020680551,1615.728711,0.041522666
1,1,16008,12,12,0,0.067269721,4916.369245,0.125227037
2,2,16008,12,12,0,0.013166196,1026.567281,0.026303053
3,0,16008,12,3,0,0.003158762,59.87094727,0.006297767
4,1,16008,12,3,0,0.049696252,900.1790725,0.094686745
5,2,16008,12,3,0,0.015349529,287.4408004,0.030235832
6,0,16008,12,12,1,0.030716293,2346.300635,0.059492667
7,1,16008,12,12,1,0.076512934,5579.357039,0.141918731
8,2,16008,12,12,1,0.044949887,3376.771611,0.085761263
9,0,16008,12,3,1,0.017036331,330.1461426,0.035027915
10,1,16008,12,3,1,0.051749587,937.2644912,0.098022659
11,2,16008,12,3,1,0.017220123,333.7702356,0.035450416
12,0,16008,12,12,2,0.112665197,8234.851221,0.203328301
13,1,16008,12,12,2,0.101746326,7510.478495,0.183891917
14,2,16008,12,12,2,0.094226827,7003.218718,0.172597697
15,0,16008,12,3,2,0.017519752,354.3964844,0.035855098
16,1,16008,12,3,2,0.07495755,1385.828068,0.13929591
17,2,16008,12,3,2,0.019433012,393.8656716,0.039812117
0,0,16035,12,12,0,0.098959304,14505.02861,0.227654692
1,1,16035,12,12,0,0.155053789,24248.8,0.371487904
2,2,16035,12,12,0,0.126364355,19113.10176,0.296025605
3,0,16035,12,3,0,0.046655932,1529.556738,0.098381063
4,1,16035,12,3,0,0.177151784,6728.746776,0.43132206
5,2,16035,12,3,0,0.056368214,1866.981854,0.120247377
6,0,16035,12,12,1,0.064490096,9529.852344,0.118737088
7,1,16035,12,12,1,0.073404725,12422.7,0.163884071
8,2,16035,12,12,1,0.068210908,10047.65623,0.124999849
9,0,16035,12,3,1,0.026773234,880.1857422,0.055247489
10,1,16035,12,3,1,0.166623643,6397.097851,0.401064584
11,2,16035,12,3,1,0.042490735,1419.838011,0.08983855
12,0,16035,12,12,2,0.023053772,3309.319141,0.047314487
13,1,16035,12,12,2,0.126218421,20503.4,0.290630946
14,2,16035,12,12,2,0.023810104,3428.093037,0.049187761
15,0,16035,12,3,2,0.033434835,1146.082031,0.070627336
16,1,16035,12,3,2,0.151273636,5905.316866,0.357628082
17,2,16035,12,3,2,0.03775332,1299.919273,0.079423512
0,0,16117,12,12,0,0.030424476,4288.893555,0.06048327
1,1,16117,12,12,0,0.251352785,47380,0.690769904
2,2,16117,12,12,0,0.038292795,5480.474277,0.078899615
3,0,16117,12,3,0,0.093830758,3381.518066,0.166474222
4,1,16117,12,3,0,0.18905575,9190,0.475082107
5,2,16117,12,3,0,0.070259241,2587.802263,0.125730743
6,0,16117,12,12,1,0.216838242,30392.36938,0.561016581
7,1,16117,12,12,1,0.33219737,59992.28058,1.040809492
8,2,16117,12,12,1,0.075822072,9739.262566,0.184658757
9,0,16117,12,3,1,0.037051958,1320.496582,0.076157008
10,1,16117,12,3,1,0.251499572,11740,0.674221949
11,2,16117,12,3,1,0.018602058,657.7363716,0.038151564
12,0,16117,12,12,2,0.282417203,36475.82764,0.810357247
13,1,16117,12,12,2,0.450947867,76119.99997,1.692259473
14,2,16117,12,12,2,0.322116362,44039.62977,0.980526679
15,0,16117,12,3,2,0.065151892,2165.097168,0.119692687
16,1,16117,12,3,2,0.258230013,12080,0.714528428
17,2,16117,12,3,2,0.053589167,1820.545981,0.104357725
0,0,16136,12,12,0,0.076518661,10711.10439,0.167822193
1,1,16136,12,12,0,0.318871512,31319.47288,0.482745308
2,2,16136,12,12,0,0.042343338,5706.755862,0.089282479
3,0,16136,12,3,0,0.007078313,224.0073242,0.013993223
4,1,16136,12,3,0,0.291626059,7195.901676,0.451507494
5,2,16136,12,3,0,0.004090185,130.5187662,0.008247936
6,0,16136,12,12,1,0.015036106,2039.512793,0.030235017
7,1,16136,12,12,1,0.352213794,34802.44166,0.520837162
8,2,16136,12,12,1,0.00815398,1095.802811,0.016252384
9,0,16136,12,3,1,0.020828882,673.4232422,0.042712776
10,1,16136,12,3,1,0.294151793,7195.6,0.454465042
11,2,16136,12,3,1,0.022607271,732.2506669,0.046465295
12,0,16136,12,12,2,0.038663242,4953.499805,0.079976676
13,1,16136,12,12,2,0.329759161,30543.11347,0.495682006
14,2,16136,12,12,2,0.062930226,8271.357392,0.133409742
15,0,16136,12,3,2,0.01884126,601.8196289,0.036967669
16,1,16136,12,3,2,0.313949202,7775.775832,0.47783399
17,2,16136,12,3,2,0.006363677,208.422012,0.012894736
0,0,16164,12,12,0,0.056167143,6851.52832,0.107926143
1,1,16164,12,12,0,0.056371308,6680,0.103171121
2,2,16164,12,12,0,0.042912917,5164.118615,0.079851864
3,0,16164,12,3,0,0.020104776,598.230957,0.039981996
4,1,16164,12,3,0,0.024051748,714.7000991,0.04814718
5,2,16164,12,3,0,0.03030938,932.0763621,0.064333815
6,0,16164,12,12,1,0.046726465,6459.360352,0.091528093
7,1,16164,12,12,1,0.152027868,18330,0.256367595
8,2,16164,12,12,1,0.042410797,5899.27456,0.086474579
9,0,16164,12,3,1,0.039970043,1276.503418,0.084703312
10,1,16164,12,3,1,0.022621424,680,0.042941847
11,2,16164,12,3,1,0.04629916,1488.446046,0.098973783
12,0,16164,12,12,2,0.139508825,28119.81616,0.341267888
13,1,16164,12,12,2,0.328842621,48330,0.455397306
14,2,16164,12,12,2,0.193224125,46774.6655,0.536216871
15,0,16164,12,3,2,0.07761631,2732.566406,0.164686198
16,1,16164,12,3,2,0.076038339,2380,0.139454188
17,2,16164,12,3,2,0.02681512,879.548048,0.049911027
0,0,16185,12,12,0,0.195843504,2932.210083,0.504777105
1,1,16185,12,12,0,0.408990925,8331.937606,1.415806582
2,2,16185,12,12,0,0.198230029,2976.775935,0.512771956
3,0,16185,12,3,0,0.11020687,340.8100281,0.237462499
4,1,16185,12,3,0,0.398108096,2010.740804,1.387441031
5,2,16185,12,3,0,0.076962994,233.1670686,0.162029554
6,0,16185,12,12,1,0.057317809,867.5349731,0.1287556
7,1,16185,12,12,1,0.336805978,7374.045367,1.044714149
8,2,16185,12,12,1,0.065616548,1009.079613,0.150287604
9,0,16185,12,3,1,0.077694108,238.5753479,0.144057003
10,1,16185,12,3,1,0.376859751,1947.37605,1.242639112
11,2,16185,12,3,1,0.073864029,228.6512145,0.139849246
12,0,16185,12,12,2,0.02925331,510.8604126,0.05672156
13,1,16185,12,12,2,0.251795277,5970.088236,0.677124916
14,2,16185,12,12,2,0.03556266,609.7759104,0.066640929
15,0,16185,12,3,2,0.053001637,164.5460205,0.113349396
16,1,16185,12,3,2,0.42124826,2139.898334,1.457449844
17,2,16185,12,3,2,0.019637728,58.89141414,0.040246384
0,0,16195,12,12,0,0.191079465,9207.447632,0.480489115
1,1,16195,12,12,0,0.015490648,603.4199185,0.030507548
2,2,16195,12,12,0,0.142640654,6493.502129,0.337571204
3,0,16195,12,3,0,0.023661618,227.5750732,0.048783857
4,1,16195,12,3,0,0.019805257,190.4563923,0.040786232
5,2,16195,12,3,0,0.028671057,278.2305519,0.059654416
6,0,16195,12,12,1,0.168477155,8352.698975,0.400710899
7,1,16195,12,12,1,0.043353828,1716.777867,0.080112904
8,2,16195,12,12,1,0.188167701,9568.403537,0.462734093
9,0,16195,12,3,1,0.007416994,73.66308594,0.015180315
10,1,16195,12,3,1,0.011813552,116.1542172,0.023513541
11,2,16195,12,3,1,0.015811518,158.3600719,0.032909375
12,0,16195,12,12,2,0.165077735,9140.028809,0.404010961
13,1,16195,12,12,2,0.108369824,4519.8995,0.189573076
14,2,16195,12,12,2,0.113749194,5933.306583,0.26422539
15,0,16195,12,3,2,0.092368575,978.4053955,0.203513273
16,1,16195,12,3,2,0.01070179,104,0.021826135
17,2,16195,12,3,2,0.066656451,686.6015397,0.142981197
0,0,16208,12,12,0,0.066402275,5496.008105,0.118456049
1,1,16208,12,12,0,0.341039588,22216.5601,0.500549559
2,2,16208,12,12,0,0.040358944,3585.317606,0.091435152
3,0,16208,12,3,0,0.10630273,2267.760352,0.192825289
4,1,16208,12,3,0,0.354414035,6175.7,0.523046108
5,2,16208,12,3,0,0.031212447,714.342354,0.060248176
6,0,16208,12,12,1,0.145430032,8962.998535,0.234130751
7,1,16208,12,12,1,0.263956721,14742.40411,0.39100424
8,2,16208,12,12,1,0.106377384,6924.870977,0.184192633
9,0,16208,12,3,1,0.075529157,1698.843799,0.140847912
10,1,16208,12,3,1,0.372761064,6568.95963,0.542872
11,2,16208,12,3,1,0.011063899,269.0057662,0.0222908
12,0,16208,12,12,2,0.131677844,7521.602417,0.295631206
13,1,16208,12,12,2,0.118364211,5306.196918,0.210491937
14,2,16208,12,12,2,0.180291353,11027.10723,0.437993776
15,0,16208,12,3,2,0.16006062,2971.894434,0.251065606
16,1,16208,12,3,2,0.331429454,5361.7,0.488238625
17,2,16208,12,3,2,0.137157027,2597.928492,0.224539238
0,0,16252,12,12,0,0.049206432,7722.065039,0.098620653
1,1,16252,12,12,0,0.370396871,40843.7,0.537909776
2,2,16252,12,12,0,0.029451696,4445.603186,0.061002867
3,0,16252,12,3,0,0.015254969,621.6647461,0.030881515
4,1,16252,12,3,0,0.378649187,11102.6,0.549191211
5,2,16252,12,3,0,0.036137141,1515.583896,0.075329904
6,0,16252,12,12,1,0.083402795,10273.48262,0.145262651
7,1,16252,12,12,1,0.344728455,34211.3,0.507180948
8,2,16252,12,12,1,0.104915687,12691.85784,0.179395229
9,0,16252,12,3,1,0.021231229,870.9203125,0.043143158
10,1,16252,12,3,1,0.381208589,11081.2,0.551951954
11,2,16252,12,3,1,0.02833236,1170.707489,0.058352067
12,0,16252,12,12,2,0.100327128,9716.383105,0.179694789
13,1,16252,12,12,2,0.272823333,22841.3333,0.428367894
14,2,16252,12,12,2,0.086715461,8503.324603,0.157656735
15,0,16252,12,3,2,0.067727735,2351.489258,0.11922054
16,1,16252,12,3,2,0.353455001,9650.7,0.518520992
17,2,16252,12,3,2,0.069654547,2408.626118,0.121307037
0,0,16299,12,12,0,0.076101736,12909.74951,0.166783789
1,1,16299,12,12,0,0.082796508,14302.6,0.188849493
2,2,16299,12,12,0,0.05827258,9695.805698,0.125172465
3,0,16299,12,3,0,0.07303405,2973.312012,0.157512288
4,1,16299,12,3,0,0.053236327,2122,0.112708552
5,2,16299,12,3,0,0.077130578,3154.025554,0.167490507
6,0,16299,12,12,1,0.196700418,36126.68398,0.501352434
7,1,16299,12,12,1,0.164178902,28980.4,0.398663988
8,2,16299,12,12,1,0.166541002,29480.66617,0.409898935
9,0,16299,12,3,1,0.052880826,2405.534766,0.115490715
10,1,16299,12,3,1,0.024451748,1037.55,0.045605275
11,2,16299,12,3,1,0.031719796,1357.698912,0.061232358
12,0,16299,12,12,2,0.221576203,45167.54297,0.58500037
13,1,16299,12,12,2,0.131378149,23884.6,0.314134069
14,2,16299,12,12,2,0.249585196,52776.05007,0.683590779
15,0,16299,12,3,2,0.047827789,1940.602832,0.079467617
16,1,16299,12,3,2,0.056556634,2408.6,0.111013633
17,2,16299,12,3,2,0.051701524,2094.331216,0.08706434
0,0,16324,12,12,0,0.128065651,5039.672693,0.219039915
1,1,16324,12,12,0,0.117910558,4454.659533,0.200232851
2,2,16324,12,12,0,0.083746267,3501.567927,0.165649195
3,0,16324,12,3,0,0.017178415,183.487915,0.034968986
4,1,16324,12,3,0,0.11312575,1081.209585,0.202860207
5,2,16324,12,3,0,0.049110632,549.4626528,0.103924088
6,0,16324,12,12,1,0.17292929,7342.782056,0.447440967
7,1,16324,12,12,1,0.049480679,1704.377363,0.095844348
8,2,16324,12,12,1,0.165578753,6968.735397,0.419533284
9,0,16324,12,3,1,0.026145621,319.1209229,0.051409052
10,1,16324,12,3,1,0.169538533,1723.075177,0.285651692
11,2,16324,12,3,1,0.060749997,768.8035824,0.137216105
12,0,16324,12,12,2,0.141638374,7145.477661,0.331819587
13,1,16324,12,12,2,0.171199602,6812.144399,0.277302833
14,2,16324,12,12,2,0.132034293,7089.183023,0.344131272
15,0,16324,12,3,2,0.117813637,1178.016602,0.193355393
16,1,16324,12,3,2,0.141493727,1388.425617,0.220462421
17,2,16324,12,3,2,0.174417209,1659.939182,0.27154785
0,0,16331,12,12,0,0.039319166,13430.02051,0.078002674
1,1,16331,12,12,0,0.524568393,118500,0.685309989
2,2,16331,12,12,0,0.050544487,16773.19745,0.092776969
3,0,16331,12,3,0,0.067100609,6228.874023,0.152156939
4,1,16331,12,3,0,0.482796452,28196.83896,0.648935886
5,2,16331,12,3,0,0.067745565,6293.095238,0.151751428
6,0,16331,12,12,1,0.138815884,45946.7959,0.321500054
7,1,16331,12,12,1,0.504064273,99199.8995,0.66705429
8,2,16331,12,12,1,0.087974096,28552.18493,0.199123377
9,0,16331,12,3,1,0.051078073,5027.486328,0.109420762
10,1,16331,12,3,1,0.534921939,32550,0.696557812
11,2,16331,12,3,1,0.044080663,4306.988829,0.093399961
12,0,16331,12,12,2,0.453648184,119837.0449,0.624107727
13,1,16331,12,12,2,0.61209,145799.8995,0.758852684
14,2,16331,12,12,2,0.32000093,93091.11397,0.483794413
15,0,16331,12,3,2,0.097545799,7856.664063,0.170212719
16,1,16331,12,3,2,0.534722222,30800,0.69370677
17,2,16331,12,3,2,0.072569527,5992.772924,0.126138441
0,0,16335,12,12,0,0.111306007,18711.4873,0.198317452
1,1,16335,12,12,0,0.5992898,70005.64906,0.748890833
2,2,16335,12,12,0,0.026680474,4914.294015,0.051305122
3,0,16335,12,3,0,0.028587139,1389.631348,0.054932705
4,1,16335,12,3,0,0.617076326,19080,0.763040628
5,2,16335,12,3,0,0.036634348,1766.985063,0.070080244
6,0,16335,12,12,1,0.128420876,21304.45166,0.226420032
7,1,16335,12,12,1,0.605353648,70590.17998,0.753771627
8,2,16335,12,12,1,0.021169928,3951.784619,0.042560818
9,0,16335,12,3,1,0.067168471,2964.513184,0.125123122
10,1,16335,12,3,1,0.599049397,17645,0.749106704
11,2,16335,12,3,1,0.022317096,1028.189014,0.04300997
12,0,16335,12,12,2,0.529623695,62753.34174,0.695062957
13,1,16335,12,12,2,0.601937889,68102.0305,0.750655875
14,2,16335,12,12,2,0.159387988,24916.14482,0.273557325
15,0,16335,12,3,2,0.019004536,843.0419922,0.037252296
16,1,16335,12,3,2,0.58389824,16530.1005,0.73699539
17,2,16335,12,3,2,0.014928038,676.2426211,0.031119989
0,0,16355,12,12,0,0.136548758,54918.35938,0.238626454
1,1,16355,12,12,0,0.48871415,150058.8,0.656141925
2,2,16355,12,12,0,0.133680092,53900.66057,0.234954444
3,0,16355,12,3,0,0.006277442,703.7269531,0.012687683
4,1,16355,12,3,0,0.473445476,35796.30875,0.642627858
5,2,16355,12,3,0,0.017782341,2016.896127,0.036294528
6,0,16355,12,12,1,0.059280551,21899.39746,0.108704247
7,1,16355,12,12,1,0.435171486,118655.4166,0.605064762
8,2,16355,12,12,1,0.074255826,27049.15796,0.134681806
9,0,16355,12,3,1,0.01696266,1934.888281,0.034706742
10,1,16355,12,3,1,0.48095431,36743.25,0.649286945
11,2,16355,12,3,1,0.017312092,1966.370216,0.034688347
12,0,16355,12,12,2,0.081605986,27381.90098,0.148644204
13,1,16355,12,12,2,0.411567072,105815.6161,0.582418676
