id_serie,rep,output,sMAPE,MAE,MAPE
39.0,0.0,12.0,0.058236085,41.279713,0.123669766
39.0,0.0,12.0,0.058236085,41.279713,0.123669766
39.0,0.0,12.0,0.058236085,41.279713,0.123669766
39.0,0.0,3.0,0.057682287,170.77559,0.12449733
39.0,0.0,3.0,0.057682287,170.77559,0.12449733
39.0,0.0,3.0,0.057682287,170.77559,0.12449733
39.0,1.0,12.0,0.091236144,68.17936,0.20012848
39.0,1.0,12.0,0.091236144,68.17936,0.20012848
39.0,1.0,12.0,0.091236144,68.17936,0.20012848
39.0,1.0,3.0,0.0409957,118.53228,0.08525529
39.0,1.0,3.0,0.0409957,118.53228,0.08525529
39.0,1.0,3.0,0.0409957,118.53228,0.08525529
39.0,2.0,12.0,0.05082208,36.445217,0.10617115
39.0,2.0,12.0,0.05082208,36.445217,0.10617115
39.0,2.0,12.0,0.05082208,36.445217,0.10617115
39.0,2.0,3.0,0.06303295,181.93669,0.13514407
39.0,2.0,3.0,0.06303295,181.93669,0.13514407
39.0,2.0,3.0,0.06303295,181.93669,0.13514407
45.0,0.0,12.0,0.15872651,103.246666,0.27384678
45.0,0.0,12.0,0.15872651,103.246666,0.27384678
45.0,0.0,12.0,0.15872651,103.246666,0.27384678
45.0,0.0,3.0,0.13424408,361.8066,0.23673598
45.0,0.0,3.0,0.13424408,361.8066,0.23673598
45.0,0.0,3.0,0.13424408,361.8066,0.23673598
45.0,1.0,12.0,0.15184948,95.23718,0.264071
45.0,1.0,12.0,0.15184948,95.23718,0.264071
45.0,1.0,12.0,0.15184948,95.23718,0.264071
45.0,1.0,3.0,0.16150323,419.46274,0.277962
45.0,1.0,3.0,0.16150323,419.46274,0.277962
45.0,1.0,3.0,0.16150323,419.46274,0.277962
45.0,2.0,12.0,0.18108852,109.95233,0.30684426
45.0,2.0,12.0,0.18108852,109.95233,0.30684426
45.0,2.0,12.0,0.18108852,109.95233,0.30684426
45.0,2.0,3.0,0.21461326,540.44366,0.35337386
45.0,2.0,3.0,0.21461326,540.44366,0.35337386
45.0,2.0,3.0,0.21461326,540.44366,0.35337386
99.0,0.0,12.0,0.027037162,9.979629,0.05550164
99.0,0.0,12.0,0.027037162,9.979629,0.05550164
99.0,0.0,12.0,0.027037162,9.979629,0.05550164
99.0,0.0,3.0,0.024808858,37.582546,0.050887365
99.0,0.0,3.0,0.024808858,37.582546,0.050887365
99.0,0.0,3.0,0.024808858,37.582546,0.050887365
99.0,1.0,12.0,0.025153253,8.959661,0.051554184
99.0,1.0,12.0,0.025153253,8.959661,0.051554184
99.0,1.0,12.0,0.025153253,8.959661,0.051554184
99.0,1.0,3.0,0.030840272,46.13162,0.063637614
99.0,1.0,3.0,0.030840272,46.13162,0.063637614
99.0,1.0,3.0,0.030840272,46.13162,0.063637614
99.0,2.0,12.0,0.034174968,11.673049,0.070690684
99.0,2.0,12.0,0.034174968,11.673049,0.070690684
99.0,2.0,12.0,0.034174968,11.673049,0.070690684
99.0,2.0,3.0,0.021514654,31.406006,0.043954585
99.0,2.0,3.0,0.021514654,31.406006,0.043954585
99.0,2.0,3.0,0.021514654,31.406006,0.043954585
109.0,0.0,12.0,0.112880476,40.03844,0.25519958
109.0,0.0,12.0,0.112880476,40.03844,0.25519958
109.0,0.0,12.0,0.112880476,40.03844,0.25519958
109.0,0.0,3.0,0.07971374,121.07889,0.17351298
109.0,0.0,3.0,0.07971374,121.07889,0.17351298
109.0,0.0,3.0,0.07971374,121.07889,0.17351298
109.0,1.0,12.0,0.12709974,40.008816,0.29169294
109.0,1.0,12.0,0.12709974,40.008816,0.29169294
109.0,1.0,12.0,0.12709974,40.008816,0.29169294
109.0,1.0,3.0,0.08438507,124.90713,0.18418126
109.0,1.0,3.0,0.08438507,124.90713,0.18418126
109.0,1.0,3.0,0.08438507,124.90713,0.18418126
109.0,2.0,12.0,0.11695629,31.66018,0.26436648
109.0,2.0,12.0,0.11695629,31.66018,0.26436648
109.0,2.0,12.0,0.11695629,31.66018,0.26436648
109.0,2.0,3.0,0.06800499,97.76202,0.14599384
109.0,2.0,3.0,0.06800499,97.76202,0.14599384
109.0,2.0,3.0,0.06800499,97.76202,0.14599384
111.0,0.0,12.0,0.089639984,23.959883,0.19675769
111.0,0.0,12.0,0.089639984,23.959883,0.19675769
111.0,0.0,12.0,0.089639984,23.959883,0.19675769
111.0,0.0,3.0,0.053561844,60.565983,0.1132105
111.0,0.0,3.0,0.053561844,60.565983,0.1132105
111.0,0.0,3.0,0.053561844,60.565983,0.1132105
111.0,1.0,12.0,0.0786633,18.957891,0.17125547
111.0,1.0,12.0,0.0786633,18.957891,0.17125547
111.0,1.0,12.0,0.0786633,18.957891,0.17125547
111.0,1.0,3.0,0.067123614,74.936584,0.14411427
111.0,1.0,3.0,0.067123614,74.936584,0.14411427
111.0,1.0,3.0,0.067123614,74.936584,0.14411427
111.0,2.0,12.0,0.04916165,10.878875,0.10324114
111.0,2.0,12.0,0.04916165,10.878875,0.10324114
111.0,2.0,12.0,0.04916165,10.878875,0.10324114
111.0,2.0,3.0,0.05851322,63.64419,0.12418129
111.0,2.0,3.0,0.05851322,63.64419,0.12418129
111.0,2.0,3.0,0.05851322,63.64419,0.12418129
133.0,0.0,12.0,0.32778856,55.36601,0.49454227
133.0,0.0,12.0,0.32778856,55.36601,0.49454227
133.0,0.0,12.0,0.32778856,55.36601,0.49454227
133.0,0.0,3.0,0.10997379,61.122204,0.19809385
133.0,0.0,3.0,0.10997379,61.122204,0.19809385
133.0,0.0,3.0,0.10997379,61.122204,0.19809385
133.0,1.0,12.0,0.2568611,48.47169,0.40957525
133.0,1.0,12.0,0.2568611,48.47169,0.40957525
133.0,1.0,12.0,0.2568611,48.47169,0.40957525
133.0,1.0,3.0,0.09894323,53.000656,0.18006659
133.0,1.0,3.0,0.09894323,53.000656,0.18006659
133.0,1.0,3.0,0.09894323,53.000656,0.18006659
133.0,2.0,12.0,0.04446451,10.535983,0.08575494
133.0,2.0,12.0,0.04446451,10.535983,0.08575494
133.0,2.0,12.0,0.04446451,10.535983,0.08575494
133.0,2.0,3.0,0.20006327,111.59968,0.33300915
133.0,2.0,3.0,0.20006327,111.59968,0.33300915
133.0,2.0,3.0,0.20006327,111.59968,0.33300915
143.0,0.0,12.0,0.03161265,9.50373,0.06567761
143.0,0.0,12.0,0.03161265,9.50373,0.06567761
143.0,0.0,12.0,0.03161265,9.50373,0.06567761
143.0,0.0,3.0,0.06524504,77.93576,0.1398555
143.0,0.0,3.0,0.06524504,77.93576,0.1398555
143.0,0.0,3.0,0.06524504,77.93576,0.1398555
143.0,1.0,12.0,0.075126536,22.360617,0.16335484
143.0,1.0,12.0,0.075126536,22.360617,0.16335484
143.0,1.0,12.0,0.075126536,22.360617,0.16335484
143.0,1.0,3.0,0.025272405,29.612915,0.051692534
143.0,1.0,3.0,0.025272405,29.612915,0.051692534
143.0,1.0,3.0,0.025272405,29.612915,0.051692534
143.0,2.0,12.0,0.04758603,13.479707,0.09984854
143.0,2.0,12.0,0.04758603,13.479707,0.09984854
143.0,2.0,12.0,0.04758603,13.479707,0.09984854
143.0,2.0,3.0,0.04359746,51.774548,0.09118885
143.0,2.0,3.0,0.04359746,51.774548,0.09118885
143.0,2.0,3.0,0.04359746,51.774548,0.09118885
160.0,0.0,12.0,0.013086206,21.281935,0.025945857
160.0,0.0,12.0,0.013086206,21.281935,0.025945857
160.0,0.0,12.0,0.013086206,21.281935,0.025945857
160.0,0.0,3.0,0.009688854,63.378147,0.019356199
160.0,0.0,3.0,0.009688854,63.378147,0.019356199
160.0,0.0,3.0,0.009688854,63.378147,0.019356199
160.0,1.0,12.0,0.0066445842,10.819776,0.013354017
160.0,1.0,12.0,0.0066445842,10.819776,0.013354017
160.0,1.0,12.0,0.0066445842,10.819776,0.013354017
160.0,1.0,3.0,0.00936518,60.86556,0.01888019
160.0,1.0,3.0,0.00936518,60.86556,0.01888019
160.0,1.0,3.0,0.00936518,60.86556,0.01888019
160.0,2.0,12.0,0.009999465,16.598808,0.020207176
160.0,2.0,12.0,0.009999465,16.598808,0.020207176
160.0,2.0,12.0,0.009999465,16.598808,0.020207176
160.0,2.0,3.0,0.012735447,81.46896,0.02514807
160.0,2.0,3.0,0.012735447,81.46896,0.02514807
160.0,2.0,3.0,0.012735447,81.46896,0.02514807
162.0,0.0,12.0,0.047637153,14.31224,0.09733205
162.0,0.0,12.0,0.047637153,14.31224,0.09733205
162.0,0.0,12.0,0.047637153,14.31224,0.09733205
162.0,0.0,3.0,0.056296647,64.476616,0.12282488
162.0,0.0,3.0,0.056296647,64.476616,0.12282488
162.0,0.0,3.0,0.056296647,64.476616,0.12282488
162.0,1.0,12.0,0.16090256,57.661564,0.2771162
162.0,1.0,12.0,0.16090256,57.661564,0.2771162
162.0,1.0,12.0,0.16090256,57.661564,0.2771162
162.0,1.0,3.0,0.03337844,42.237846,0.06383965
162.0,1.0,3.0,0.03337844,42.237846,0.06383965
162.0,1.0,3.0,0.03337844,42.237846,0.06383965
162.0,2.0,12.0,0.0420346,19.802149,0.08753217
162.0,2.0,12.0,0.0420346,19.802149,0.08753217
162.0,2.0,12.0,0.0420346,19.802149,0.08753217
162.0,2.0,3.0,0.12086577,149.40794,0.27600658
162.0,2.0,3.0,0.12086577,149.40794,0.27600658
162.0,2.0,3.0,0.12086577,149.40794,0.27600658
200.0,0.0,12.0,0.13147292,35.029945,0.30743614
200.0,0.0,12.0,0.13147292,35.029945,0.30743614
200.0,0.0,12.0,0.13147292,35.029945,0.30743614
200.0,0.0,3.0,0.012442383,16.160265,0.024155563
200.0,0.0,3.0,0.012442383,16.160265,0.024155563
200.0,0.0,3.0,0.012442383,16.160265,0.024155563
200.0,1.0,12.0,0.043538522,10.397472,0.09256218
200.0,1.0,12.0,0.043538522,10.397472,0.09256218
200.0,1.0,12.0,0.043538522,10.397472,0.09256218
200.0,1.0,3.0,0.04340348,52.86769,0.09414977
200.0,1.0,3.0,0.04340348,52.86769,0.09414977
200.0,1.0,3.0,0.04340348,52.86769,0.09414977
200.0,2.0,12.0,0.09094137,22.133356,0.2013823
200.0,2.0,12.0,0.09094137,22.133356,0.2013823
200.0,2.0,12.0,0.09094137,22.133356,0.2013823
200.0,2.0,3.0,0.08103102,89.615456,0.17663527
200.0,2.0,3.0,0.08103102,89.615456,0.17663527
200.0,2.0,3.0,0.08103102,89.615456,0.17663527
206.0,0.0,12.0,0.0048054378,0.8630329,0.009552844
206.0,0.0,12.0,0.0048054378,0.8630329,0.009552844
206.0,0.0,12.0,0.0048054378,0.8630329,0.009552844
206.0,0.0,3.0,0.0018149066,1.3026665,0.0036236672
206.0,0.0,3.0,0.0018149066,1.3026665,0.0036236672
206.0,0.0,3.0,0.0018149066,1.3026665,0.0036236672
206.0,1.0,12.0,0.020456456,3.845623,0.040034104
206.0,1.0,12.0,0.020456456,3.845623,0.040034104
206.0,1.0,12.0,0.020456456,3.845623,0.040034104
206.0,1.0,3.0,0.0052485606,3.787177,0.010442793
206.0,1.0,3.0,0.0052485606,3.787177,0.010442793
206.0,1.0,3.0,0.0052485606,3.787177,0.010442793
206.0,2.0,12.0,0.008259301,1.5774002,0.016787004
206.0,2.0,12.0,0.008259301,1.5774002,0.016787004
206.0,2.0,12.0,0.008259301,1.5774002,0.016787004
206.0,2.0,3.0,0.0024225388,1.7452255,0.0048213857
206.0,2.0,3.0,0.0024225388,1.7452255,0.0048213857
206.0,2.0,3.0,0.0024225388,1.7452255,0.0048213857
261.0,0.0,12.0,0.0137027,3.5209749,0.027839897
261.0,0.0,12.0,0.0137027,3.5209749,0.027839897
261.0,0.0,12.0,0.0137027,3.5209749,0.027839897
261.0,0.0,3.0,0.00799527,8.284654,0.016002333
261.0,0.0,3.0,0.00799527,8.284654,0.016002333
261.0,0.0,3.0,0.00799527,8.284654,0.016002333
261.0,1.0,12.0,0.0154693425,4.0684023,0.03085533
261.0,1.0,12.0,0.0154693425,4.0684023,0.03085533
261.0,1.0,12.0,0.0154693425,4.0684023,0.03085533
261.0,1.0,3.0,0.015825585,16.176542,0.03129374
261.0,1.0,3.0,0.015825585,16.176542,0.03129374
261.0,1.0,3.0,0.015825585,16.176542,0.03129374
261.0,2.0,12.0,0.026784178,7.0865693,0.053957205
261.0,2.0,12.0,0.026784178,7.0865693,0.053957205
261.0,2.0,12.0,0.026784178,7.0865693,0.053957205
261.0,2.0,3.0,0.015242394,15.8042,0.030913187
261.0,2.0,3.0,0.015242394,15.8042,0.030913187
261.0,2.0,3.0,0.015242394,15.8042,0.030913187
270.0,0.0,12.0,0.23503298,27.03337,0.36951077
270.0,0.0,12.0,0.23503298,27.03337,0.36951077
270.0,0.0,12.0,0.23503298,27.03337,0.36951077
270.0,0.0,3.0,0.06415794,30.454264,0.12085659
270.0,0.0,3.0,0.06415794,30.454264,0.12085659
270.0,0.0,3.0,0.06415794,30.454264,0.12085659
270.0,1.0,12.0,0.5539558,97.733025,0.70725495
270.0,1.0,12.0,0.5539558,97.733025,0.70725495
270.0,1.0,12.0,0.5539558,97.733025,0.70725495
270.0,1.0,3.0,0.11276721,49.936146,0.20160538
270.0,1.0,3.0,0.11276721,49.936146,0.20160538
270.0,1.0,3.0,0.11276721,49.936146,0.20160538
270.0,2.0,12.0,0.26692376,51.9015,0.4226017
270.0,2.0,12.0,0.26692376,51.9015,0.4226017
270.0,2.0,12.0,0.26692376,51.9015,0.4226017
270.0,2.0,3.0,0.18516846,76.05218,0.31265202
270.0,2.0,3.0,0.18516846,76.05218,0.31265202
270.0,2.0,3.0,0.18516846,76.05218,0.31265202
299.0,0.0,12.0,0.057634056,41.325176,0.115844406
299.0,0.0,12.0,0.057634056,41.325176,0.115844406
299.0,0.0,12.0,0.057634056,41.325176,0.115844406
299.0,0.0,3.0,0.097823635,334.9844,0.22173536
299.0,0.0,3.0,0.097823635,334.9844,0.22173536
299.0,0.0,3.0,0.097823635,334.9844,0.22173536
299.0,1.0,12.0,0.058556195,44.029434,0.12262442
299.0,1.0,12.0,0.058556195,44.029434,0.12262442
299.0,1.0,12.0,0.058556195,44.029434,0.12262442
299.0,1.0,3.0,0.050733756,139.77974,0.09865744
299.0,1.0,3.0,0.050733756,139.77974,0.09865744
299.0,1.0,3.0,0.050733756,139.77974,0.09865744
299.0,2.0,12.0,0.07235454,52.73221,0.14754087
299.0,2.0,12.0,0.07235454,52.73221,0.14754087
299.0,2.0,12.0,0.07235454,52.73221,0.14754087
299.0,2.0,3.0,0.04499175,112.01636,0.08888734
299.0,2.0,3.0,0.04499175,112.01636,0.08888734
299.0,2.0,3.0,0.04499175,112.01636,0.08888734
322.0,0.0,12.0,0.062301267,54.704617,0.119765945
322.0,0.0,12.0,0.062301267,54.704617,0.119765945
322.0,0.0,12.0,0.062301267,54.704617,0.119765945
322.0,0.0,3.0,0.032035507,116.48965,0.06263671
322.0,0.0,3.0,0.032035507,116.48965,0.06263671
322.0,0.0,3.0,0.032035507,116.48965,0.06263671
322.0,1.0,12.0,0.01775717,16.415796,0.03617142
322.0,1.0,12.0,0.01775717,16.415796,0.03617142
322.0,1.0,12.0,0.01775717,16.415796,0.03617142
322.0,1.0,3.0,0.14539208,459.00327,0.2551649
322.0,1.0,3.0,0.14539208,459.00327,0.2551649
322.0,1.0,3.0,0.14539208,459.00327,0.2551649
322.0,2.0,12.0,0.027129725,24.664019,0.056490093
322.0,2.0,12.0,0.027129725,24.664019,0.056490093
322.0,2.0,12.0,0.027129725,24.664019,0.056490093
322.0,2.0,3.0,0.05584373,197.62886,0.105899476
322.0,2.0,3.0,0.05584373,197.62886,0.105899476
322.0,2.0,3.0,0.05584373,197.62886,0.105899476
365.0,0.0,12.0,0.07473471,59.317062,0.1425169
365.0,0.0,12.0,0.07473471,59.317062,0.1425169
365.0,0.0,12.0,0.07473471,59.317062,0.1425169
365.0,0.0,3.0,0.05023947,159.27068,0.101597704
365.0,0.0,3.0,0.05023947,159.27068,0.101597704
365.0,0.0,3.0,0.05023947,159.27068,0.101597704
365.0,1.0,12.0,0.07339006,59.258648,0.13872547
365.0,1.0,12.0,0.07339006,59.258648,0.13872547
365.0,1.0,12.0,0.07339006,59.258648,0.13872547
365.0,1.0,3.0,0.014521629,44.12945,0.029089632
365.0,1.0,3.0,0.014521629,44.12945,0.029089632
365.0,1.0,3.0,0.014521629,44.12945,0.029089632
365.0,2.0,12.0,0.0855523,72.10227,0.16032232
365.0,2.0,12.0,0.0855523,72.10227,0.16032232
365.0,2.0,12.0,0.0855523,72.10227,0.16032232
365.0,2.0,3.0,0.05355807,162.09566,0.10198048
365.0,2.0,3.0,0.05355807,162.09566,0.10198048
365.0,2.0,3.0,0.05355807,162.09566,0.10198048
366.0,0.0,12.0,0.25634682,375.23782,0.69307685
366.0,0.0,12.0,0.25634682,375.23782,0.69307685
366.0,0.0,12.0,0.25634682,375.23782,0.69307685
366.0,0.0,3.0,0.15671472,1003.4143,0.37178537
366.0,0.0,3.0,0.15671472,1003.4143,0.37178537
366.0,0.0,3.0,0.15671472,1003.4143,0.37178537
366.0,1.0,12.0,0.27054936,352.73026,0.7434945
366.0,1.0,12.0,0.27054936,352.73026,0.7434945
366.0,1.0,12.0,0.27054936,352.73026,0.7434945
366.0,1.0,3.0,0.18228647,1166.4673,0.4443594
366.0,1.0,3.0,0.18228647,1166.4673,0.4443594
366.0,1.0,3.0,0.18228647,1166.4673,0.4443594
366.0,2.0,12.0,0.28257835,291.25766,0.78637725
366.0,2.0,12.0,0.28257835,291.25766,0.78637725
366.0,2.0,12.0,0.28257835,291.25766,0.78637725
366.0,2.0,3.0,0.18814851,1175.6227,0.46482107
366.0,2.0,3.0,0.18814851,1175.6227,0.46482107
366.0,2.0,3.0,0.18814851,1175.6227,0.46482107
382.0,0.0,12.0,0.13288812,28.41111,0.3096942
382.0,0.0,12.0,0.13288812,28.41111,0.3096942
382.0,0.0,12.0,0.13288812,28.41111,0.3096942
382.0,0.0,3.0,0.062118,57.74422,0.13248138
382.0,0.0,3.0,0.062118,57.74422,0.13248138
382.0,0.0,3.0,0.062118,57.74422,0.13248138
382.0,1.0,12.0,0.11267805,21.554495,0.25795344
382.0,1.0,12.0,0.11267805,21.554495,0.25795344
382.0,1.0,12.0,0.11267805,21.554495,0.25795344
382.0,1.0,3.0,0.08573508,78.49123,0.1882223
382.0,1.0,3.0,0.08573508,78.49123,0.1882223
382.0,1.0,3.0,0.08573508,78.49123,0.1882223
